date,open,high,low,close,volume
2025-06-04,16.700000762939453,16.989999771118164,15.100000381469727,15.109999656677246,21812200
2025-06-05,15.0600004196167,15.109999656677246,14.53499984741211,14.720000267028809,10897700
2025-06-06,14.890000343322754,15.029999732971191,14.6899995803833,14.880000114440918,6001700
2025-06-09,14.949999809265137,15.114999771118164,14.59000015258789,14.640000343322754,4211900
2025-06-10,14.600000381469727,14.725000381469727,14.279999732971191,14.350000381469727,4439100
2025-06-11,14.369999885559082,14.470000267028809,14.0649995803833,14.140000343322754,3943700
2025-06-12,14.0,14.15999984741211,13.789999961853027,13.829999923706055,5545800
2025-06-13,13.449999809265137,13.70300006866455,13.180000305175781,13.1899995803833,3509000
2025-06-16,13.239999771118164,13.54699993133545,13.180000305175781,13.369999885559082,3187000
2025-06-17,13.270000457763672,13.678999900817871,13.23900032043457,13.329999923706055,3466300
2025-06-18,13.289999961853027,13.444999694824219,13.199999809265137,13.289999961853027,2938200
2025-06-20,13.295000076293945,13.470000267028809,12.979999542236328,13.149999618530273,5651400
2025-06-23,13.050000190734863,13.145000457763672,12.690999984741211,13.09000015258789,6181600
2025-06-24,13.279999732971191,13.420000076293945,13.09000015258789,13.199999809265137,3122900
2025-06-25,13.260000228881836,13.484999656677246,12.925000190734863,12.930000305175781,3243700
2025-06-26,12.9399995803833,13.649999618530273,12.819999694824219,13.329999923706055,4415000
2025-06-27,13.3100004196167,13.487000465393066,13.140000343322754,13.279999732971191,4853800
2025-06-30,13.609999656677246,13.779000282287598,13.350000381469727,13.5,3266000
2025-07-01,13.390000343322754,13.789999961853027,13.180000305175781,13.670000076293945,2990000
2025-07-02,13.619999885559082,13.75,13.470000267028809,13.510000228881836,2891100
2025-07-03,13.649999618530273,14.130000114440918,13.614999771118164,13.970000267028809,2421400
2025-07-07,13.90999984741211,14.279999732971191,13.779999732971191,14.270000457763672,2990800
2025-07-08,14.510000228881836,14.805000305175781,14.3100004196167,14.770000457763672,4063300
2025-07-09,14.800000190734863,14.850000381469727,14.460000038146973,14.579999923706055,3266100
2025-07-10,14.949999809265137,14.949999809265137,14.270000457763672,14.420000076293945,3175600
2025-07-11,14.3100004196167,14.460000038146973,13.8100004196167,13.880000114440918,2932600
2025-07-14,13.850000381469727,14.380000114440918,13.760000228881836,14.140000343322754,2902600
2025-07-15,14.140000343322754,14.199999809265137,13.699999809265137,13.699999809265137,3472700
2025-07-16,14.0,14.140000343322754,13.694999694824219,14.09000015258789,2802700
2025-07-17,14.100000381469727,14.479999542236328,14.0600004196167,14.40999984741211,2620000
2025-07-18,14.59000015258789,15.020000457763672,14.460000038146973,15.010000228881836,4366300
2025-07-21,15.199999809265137,15.260000228881836,14.800000190734863,14.819999694824219,4557000
2025-07-22,14.960000038146973,15.140000343322754,14.770000457763672,15.029999732971191,4489500
2025-07-23,14.960000038146973,15.210000038146973,14.84000015258789,15.119999885559082,3848000
2025-07-24,15.100000381469727,15.3100004196167,14.77299976348877,14.9399995803833,3082200
2025-07-25,14.920000076293945,15.069000244140625,14.699999809265137,14.899999618530273,2441100
2025-07-28,15.130000114440918,15.220000267028809,14.90999984741211,15.029999732971191,3015400
