date,open,high,low,close,volume,sma_20,rsi_14,price_prev,sma_20_prev
2025-08-05,24.809999465942383,26.219999313354492,24.020000457763672,25.020000457763672,86400,,,,
2025-08-06,25.020000457763672,25.459999084472656,24.600000381469727,24.90999984741211,61700,,,25.020000457763672,
2025-08-07,25.270000457763672,25.38999938964844,24.63999938964844,24.84000015258789,40900,,,24.90999984741211,
2025-08-08,24.81999969482422,25.34000015258789,24.100000381469727,24.440000534057617,51500,,,24.84000015258789,
2025-08-11,24.59000015258789,24.75,23.75,24.299999237060547,73200,,,24.440000534057617,
2025-08-12,24.010000228881836,24.729999542236328,20.049999237060547,20.260000228881836,185000,,,24.299999237060547,
2025-08-13,20.510000228881836,22.079999923706055,20.510000228881836,21.63999938964844,291900,,,20.260000228881836,
2025-08-14,21.670000076293945,21.670000076293945,19.940000534057617,20.09000015258789,89600,,,21.63999938964844,
2025-08-15,20.100000381469727,21.739999771118164,20.100000381469727,20.86000061035156,123300,,,20.09000015258789,
2025-08-18,20.829999923706055,20.989999771118164,19.829999923706055,19.959999084472656,88600,,,20.86000061035156,
2025-08-19,19.90999984741211,20.530000686645508,19.780000686645508,19.84000015258789,51100,,,19.959999084472656,
2025-08-20,19.86000061035156,20.0,19.229999542236328,19.290000915527344,91500,,,19.84000015258789,
2025-08-21,19.329999923706055,20.290000915527344,19.1299991607666,20.030000686645508,80000,,,19.290000915527344,
2025-08-22,20.309999465942383,20.920000076293945,19.540000915527344,20.68000030517578,101600,,35.89301297810623,20.030000686645508,
2025-08-25,20.540000915527344,20.540000915527344,19.84000015258789,19.959999084472656,75000,,32.5278801197053,20.68000030517578,
2025-08-26,19.719999313354492,20.8700008392334,19.350000381469727,20.75,155600,,39.257129955015095,19.959999084472656,
2025-08-27,20.63999938964844,20.81999969482422,20.309999465942383,20.510000228881836,117000,,38.01666574652693,20.75,
2025-08-28,20.600000381469727,21.040000915527344,20.309999465942383,20.920000076293945,66100,,41.42198544657737,20.510000228881836,
2025-08-29,22.549999237060547,23.8799991607666,21.93000030517578,23.020000457763672,132000,,,,
