insider_name,title,type,security,shares,price,value,code,filing_date
Bickley Ian,,Sell,Common Shares,233463.0,0.0,0.0,A,2025-07-08
Layding Martin,Chief Financial Officer,Sell,Common Stock,414439.0,1.87,775000.93,A,2025-06-26
Dely Mark C,CHIEF ADMINISTRATIVE OFFICER,Sell,Common Stock,128755.0,2.33,299999.15,A,2025-06-26
Barbara B. Baekgaard 2009 Grantor Retained Annuity Trust,Unknown,Sell,Common Stock,23674.0,2.19,51846.06,A,2025-06-18
Barbara B. Baekgaard 2009 Grantor Retained Annuity Trust,Unknown,Sell,Common Stock,30993.0,2.39,74073.27,A,2025-06-18
Barbara B. Baekgaard 2009 Grantor Retained Annuity Trust,Unknown,Sell,Common Stock,37846.0,2.07,78341.22,A,2025-06-18
Byrne Thomas Farrell II,Unknown,Sell,Common Stock,23674.0,2.19,51846.06,A,2025-06-18
Byrne Thomas Farrell II,Unknown,Sell,Common Stock,30993.0,2.39,74073.27,A,2025-06-18
Byrne Thomas Farrell II,Unknown,Sell,Common Stock,37846.0,2.07,78341.22,A,2025-06-18
Ray Michael C.,Unknown,Sell,Common Stock,23674.0,2.19,51846.06,A,2025-06-18
Ray Michael C.,Unknown,Sell,Common Stock,30993.0,2.39,74073.27,A,2025-06-18
Ray Michael C.,Unknown,Sell,Common Stock,37846.0,2.07,78341.22,A,2025-06-18
Ray Anne Marie,Unknown,Sell,Common Stock,23674.0,2.19,51846.06,A,2025-06-18
Ray Anne Marie,Unknown,Sell,Common Stock,30993.0,2.39,74073.27,A,2025-06-18
Ray Anne Marie,Unknown,Sell,Common Stock,37846.0,2.07,78341.22,A,2025-06-18
Hall Robert J,Unknown,Sell,Common Stock,23674.0,2.19,51846.06,A,2025-06-18
Hall Robert J,Unknown,Sell,Common Stock,30993.0,2.39,74073.27,A,2025-06-18
Hall Robert J,Unknown,Sell,Common Stock,37846.0,2.07,78341.22,A,2025-06-18
Hall Joan B.,Unknown,Sell,Common Stock,23674.0,2.19,51846.06,A,2025-06-18
