insider_name,title,type,security,shares,price,value,code,filing_date
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,6115.0,156.5381,957230.48,S,2025-04-18
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,100.0,158.03,15803.0,S,2025-04-18
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,3700.0,154.5014,571655.18,S,2025-04-18
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,12667.0,155.5214,1969989.57,S,2025-04-18
Hennessy John L.,Unknown,Sell,Class C Capital Stock,60.0,160.6193,9637.16,S,2025-04-14
Hennessy John L.,Unknown,Sell,Class C Capital Stock,50.0,161.605,8080.25,S,2025-04-14
Hennessy John L.,Unknown,Sell,Class C Capital Stock,50.0,162.3905,8119.53,S,2025-04-14
Hennessy John L.,Unknown,Sell,Class C Capital Stock,40.0,163.5521,6542.08,S,2025-04-14
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,1400.0,157.2336,220127.04,S,2025-04-04
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,19972.0,158.3181,3161929.09,S,2025-04-04
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,9389.0,159.0037,1492885.74,S,2025-04-04
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,1739.0,159.9721,278191.48,S,2025-04-04
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Capital Stock,673.0,155.33,104537.09,S,2025-04-01
ARNOLD FRANCES,Unknown,Sell,Class C Capital Stock,111.0,162.42,18028.62,S,2025-03-31
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,17782.0,0.0,0.0,G,2025-03-31
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,674.0,0.0,0.0,C,2025-03-27
Porat Ruth,President and CIO,Sell,Class C Capital Stock,17782.0,0.0,0.0,C,2025-03-27
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,681.0,169.93,115722.33,F,2025-03-27
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Google Stock Units,6017.0,0.0,0.0,C,2025-03-27
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,281.0,169.93,47750.33,F,2025-03-27
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,278.0,0.0,0.0,C,2025-03-27
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Capital Stock,952.0,0.0,0.0,C,2025-03-27
Porat Ruth,President and CIO,Sell,Class C Google Stock Units,6017.0,0.0,0.0,C,2025-03-27
Porat Ruth,President and CIO,Sell,Class C Google Stock Units,6085.0,169.93,1034024.05,F,2025-03-27
Porat Ruth,President and CIO,Sell,Class C Google Stock Units,7124.0,169.93,1210581.32,F,2025-03-27
Porat Ruth,President and CIO,Sell,Class C Google Stock Units,7045.0,0.0,0.0,C,2025-03-27
Porat Ruth,President and CIO,Sell,Class C Google Stock Units,4773.0,169.93,811075.89,F,2025-03-27
Porat Ruth,President and CIO,Sell,Class C Google Stock Units,4720.0,0.0,0.0,C,2025-03-27
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Google Stock Units,7124.0,169.93,1210581.32,F,2025-03-27
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,11711.0,0.0,0.0,C,2025-03-27
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,11696.0,169.93,1987501.28,F,2025-03-27
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,6686.0,0.0,0.0,C,2025-03-27
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,6761.0,169.93,1148896.73,F,2025-03-27
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Google Stock Units,6085.0,169.93,1034024.05,F,2025-03-27
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Capital Stock,18397.0,0.0,0.0,C,2025-03-27
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,17782.0,0.0,0.0,C,2025-03-27
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Google Stock Units,7045.0,0.0,0.0,C,2025-03-27
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Google Stock Units,4720.0,0.0,0.0,C,2025-03-27
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Google Stock Units,4773.0,0.0,0.0,F,2025-03-27
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,11764.0,166.8395,1962699.88,S,2025-03-27
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,6031.0,0.0,0.0,C,2025-03-26
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,37152.0,0.0,0.0,C,2025-03-26
Pichai Sundar,Chief Executive Officer,Sell,Class C Google Stock Units,37571.0,169.93,6384440.03,F,2025-03-26
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,9104.0,169.93,1547042.72,F,2025-03-26
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,6099.0,169.93,1036403.07,F,2025-03-26
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,7212.0,169.93,1225535.16,F,2025-03-26
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,7132.0,0.0,0.0,C,2025-03-26
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Capital Stock,22165.0,0.0,0.0,C,2025-03-26
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,9002.0,0.0,0.0,C,2025-03-26
Pichai Sundar,Chief Executive Officer,Sell,Class C Google Stock Units,358.0,0.0,0.0,A,2025-03-19
ARNOLD FRANCES,Unknown,Sell,Class C Google Stock Units,2.0,0.0,0.0,A,2025-03-19
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,87.0,0.0,0.0,A,2025-03-19
Porat Ruth,President and CIO,Sell,Class C Google Stock Units,68.0,0.0,0.0,A,2025-03-19
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,24.0,0.0,0.0,A,2025-03-19
Porat Ruth,President and CIO,Sell,Class C Google Stock Units,91.0,0.0,0.0,A,2025-03-19
