ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
NIQ,Miller Curtis John,Chief Strategy Officer,2025-08-28,Buy,16.97,10000,"169,700","10,000",http://www.sec.gov/Archives/edgar/data/2054696/000119312525193320/xslF345X05/ownership.xml
MDBH,MARLETT CHRISTOPHER A,Co-Founder,2025-08-29,Buy,3.52,1645,"5,790","153,933",http://www.sec.gov/Archives/edgar/data/897744/000164117225026105/xslF345X05/ownership.xml
MDBH,MARLETT CHRISTOPHER A,Co-Founder,2025-08-28,Buy,3.56,1575,"5,607","152,288",http://www.sec.gov/Archives/edgar/data/897744/000164117225026105/xslF345X05/ownership.xml
TEAM,Belsky Scott,Director,2025-08-28,Buy,173.0,1455,"251,715","1,455",http://www.sec.gov/Archives/edgar/data/1650372/000156218025006047/xslF345X05/primarydocument.xml
HTH,SOBEL JONATHAN S,Hilltop Securities Chairman,2025-08-27,Buy,35.36,10000,"353,600","127,429",http://www.sec.gov/Archives/edgar/data/1086618/000156218025006043/xslF345X05/primarydocument.xml
IRIX,Dizon Romeo R,Chief Financial Officer,2025-08-29,Buy,1.37,625,856,"52,375",http://www.sec.gov/Archives/edgar/data/1006045/000095017025112318/xslF345X05/ownership.xml
SNV,Dierdorff Thomas T,"EVP, Corp. & Inv. Banking",2025-08-28,Buy,50.56,6200,"313,472","20,954",http://www.sec.gov/Archives/edgar/data/18349/000001834925000114/xslF345X05/wk-form4_1756502255.xml
MDRR,KAVANAUGH FRANK,"CHAIRMAN, CEO & PRESIDENT",2025-08-29,Buy,12.5,22899,"286,215","58,020",http://www.sec.gov/Archives/edgar/data/1271775/000141588925023309/xslF345X05/form4-08292025_090849.xml
AKTX,Gaslightwala Abizer,CEO,2025-08-25,Buy,0.9,3000,"2,700","298,574",http://www.sec.gov/Archives/edgar/data/1541157/000164117225026025/xslF345X05/ownership.xml
AKTX,Gaslightwala Abizer,CEO,2025-08-22,Buy,0.93,8000,"7,440","295,574",http://www.sec.gov/Archives/edgar/data/1541157/000164117225026025/xslF345X05/ownership.xml
AKTX,Gaslightwala Abizer,CEO,2025-08-21,Buy,0.94,10000,"9,400","287,574",http://www.sec.gov/Archives/edgar/data/1541157/000164117225026025/xslF345X05/ownership.xml
DLHC,Mink Brook Asset Management LL,10% Owner,2025-08-29,Buy,5.5,181,996,"1,839,299",http://www.sec.gov/Archives/edgar/data/785557/000078555725000096/xslF345X05/wk-form4_1756500092.xml
DLHC,Mink Brook Asset Management LL,10% Owner,2025-08-28,Buy,5.5,446,"2,453","1,839,118",http://www.sec.gov/Archives/edgar/data/785557/000078555725000096/xslF345X05/wk-form4_1756500092.xml
AFCG,TANNENBAUM LEONARD M,Director,2025-08-28,Buy,4.57,144399,"659,903","4,809,549",http://www.sec.gov/Archives/edgar/data/1200461/000120046125000045/xslF345X05/wk-form4_1756499722.xml
AFCG,TANNENBAUM LEONARD M,Director,2025-08-27,Buy,4.81,330127,"1,587,911","4,665,150",http://www.sec.gov/Archives/edgar/data/1200461/000120046125000045/xslF345X05/wk-form4_1756499722.xml
MLP,CASE STEPHEN M,Director,2025-08-27,Buy,17.0,320,"5,440","11,934,465",http://www.sec.gov/Archives/edgar/data/63330/000141588925023306/xslF345X05/form4-08292025_040801.xml
RCEL,McNamara Robert,Director,2025-08-28,Buy,4.5,10000,"45,000","86,771",http://www.sec.gov/Archives/edgar/data/1387652/000095017025112234/xslF345X05/ownership.xml
PGEN,AGEE NANCY H,Director,2025-08-28,Buy,4.65,10645,"49,491","202,841",http://www.sec.gov/Archives/edgar/data/1314626/000095010325010987/xslF345X05/dp233686_4-agee.xml
PGEN,AGEE NANCY H,Director,2025-08-19,Buy,3.2,15360,"49,152","192,196",http://www.sec.gov/Archives/edgar/data/1314626/000095010325010987/xslF345X05/dp233686_4-agee.xml
CCAP,Bouek Kirill,Controller,2025-08-28,Buy,15.67,200,"3,133","1,057",http://www.sec.gov/Archives/edgar/data/1633336/000095017025112230/xslF345X05/ownership.xml
SELF,WINMILL & CO. INC,"See ""Explanation of Responses""",2025-08-29,Buy,5.48,4592,"25,150","75,734",http://www.sec.gov/Archives/edgar/data/52234/000103123525000023/xslF345X05/primary_doc.xml
FGBI,WALKER ROBERT W,Director,2025-08-28,Buy,7.97,3750,"29,888","31,276",http://www.sec.gov/Archives/edgar/data/1157292/000143774925028029/xslF345X05/rdgdoc.xml
EMN,SMITH BRIAN TRAVIS,"EVP, AFP, Mfg., WWEC & HSE",2025-08-27,Buy,68.34,1750,"119,595","16,732",http://www.sec.gov/Archives/edgar/data/915389/000194885425000007/xslF345X05/wk-form4_1756497694.xml
IZEA,GARDNER LINDSAY A,Director,2025-08-29,Buy,4.0,500,"2,000","119,553",http://www.sec.gov/Archives/edgar/data/1197766/000149523125000163/xslF345X05/wk-form4_1756497651.xml
WLKP,Gilson Jean-Marc,President and CEO,2025-08-27,Buy,21.25,95,"2,025","11,803",http://www.sec.gov/Archives/edgar/data/1604665/000203003725000008/xslF345X05/ownership.xml
NRGV,Piconi Robert,Chief Executive Officer,2025-08-29,Buy,1.92,22500,"43,108","20,110,026",http://www.sec.gov/Archives/edgar/data/1828536/000182853625000137/xslF345X05/wk-form4_1756492998.xml
FRAF,Duffey Gregory A,Director,2025-08-27,Buy,46.55,21,978,"23,580",http://www.sec.gov/Archives/edgar/data/723646/000163850925000010/xslF345X05/primary_doc.xml
NRGV,Hixon Dylan,Director,2025-08-29,Buy,1.92,20000,"38,310","900,065",http://www.sec.gov/Archives/edgar/data/1828536/000182853625000135/xslF345X05/wk-form4_1756489367.xml
LKQ,Urbain Xavier,Director,2025-08-28,Buy,32.12,15000,"481,756","33,669",http://www.sec.gov/Archives/edgar/data/1065696/000121465925013057/xslF345X05/marketforms-70471.xml
ATLO,Cassabaum Michelle R,Director,2025-08-29,Buy,19.83,278,"5,513","8,869",http://www.sec.gov/Archives/edgar/data/1132651/000113265125000034/xslF345X05/primary_doc.xml
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-08-28,Buy,2.63,774,"2,036","323,174",http://www.sec.gov/Archives/edgar/data/919567/000143774925028003/xslF345X05/rdgdoc.xml
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-08-28,Buy,2.63,356,936,"106,378",http://www.sec.gov/Archives/edgar/data/919567/000143774925028003/xslF345X05/rdgdoc.xml
TPL,HORIZON KINETICS ASSET MANAGEM,10% Owner,2025-08-28,Buy,909.74,1,910,"1,163,985",http://www.sec.gov/Archives/edgar/data/1056823/000143774925028002/xslF345X05/rdgdoc.xml
ASRV,STOPKO JEFFREY A,President & CEO ASRV & Bank,2025-08-28,Buy,3.04,3000,"9,120","160,000",http://www.sec.gov/Archives/edgar/data/707605/000106299325015077/xslF345X05/form4.xml
EBC,Antonakes Steven Louis,Executive VP,2025-08-27,Buy,17.07,5244,"89,515","12,925",http://www.sec.gov/Archives/edgar/data/1810546/000119312525192159/xslF345X05/ownership.xml
EBC,Antonakes Steven Louis,Executive VP,2025-08-27,Buy,17.02,940,"15,999","62,358",http://www.sec.gov/Archives/edgar/data/1810546/000119312525192159/xslF345X05/ownership.xml
EBC,Henry Kathleen Cloherty,"Executive VP, General Counsel",2025-08-27,Buy,17.07,5855,"99,945","28,219",http://www.sec.gov/Archives/edgar/data/1810546/000119312525192158/xslF345X05/ownership.xml
EBC,Miller Quincy Lee,President,2025-08-27,Buy,17.07,13706,"233,961","13,706",http://www.sec.gov/Archives/edgar/data/1810546/000119312525192153/xslF345X05/ownership.xml
BW,Moeller Philip D,Director,2025-08-27,Buy,1.86,10000,"18,599","197,559",http://www.sec.gov/Archives/edgar/data/1630805/000163080525000082/xslF345X05/form4.xml
PROP,Frommer Richard N.,Director,2025-08-27,Buy,2.49,1500,"3,735","129,872",http://www.sec.gov/Archives/edgar/data/1162896/000114036125033252/xslF345X05/form4.xml
IRIX,Dizon Romeo R,Chief Financial Officer,2025-08-28,Buy,1.35,1005,"1,356","51,750",http://www.sec.gov/Archives/edgar/data/1006045/000095017025112112/xslF345X05/ownership.xml
SMC,"Connect Midstream, LLC",10% Owner,2025-08-27,Buy,20.5,47401,"971,720","120,160",http://www.sec.gov/Archives/edgar/data/1351303/000121390025082006/xslF345X05/ownership.xml
SMC,"Connect Midstream, LLC",10% Owner,2025-08-26,Buy,20.46,72759,"1,488,649","72,759",http://www.sec.gov/Archives/edgar/data/1351303/000121390025082006/xslF345X05/ownership.xml
TPVG,Labe James,Chief Executive Officer,2025-08-27,Buy,6.63,53160,"352,376","378,805",http://www.sec.gov/Archives/edgar/data/1580345/000159498325000008/xslF345X05/wk-form4_1756425186.xml
TPVG,Labe James,Chief Executive Officer,2025-08-26,Buy,6.48,27988,"181,298","325,645",http://www.sec.gov/Archives/edgar/data/1580345/000159498325000008/xslF345X05/wk-form4_1756425186.xml
TPVG,Srivastava Sajal,President and CIO,2025-08-27,Buy,6.63,53160,"352,376","378,805",http://www.sec.gov/Archives/edgar/data/1580345/000159498625000008/xslF345X05/wk-form4_1756425154.xml
TPVG,Srivastava Sajal,President and CIO,2025-08-26,Buy,6.48,27988,"181,298","325,645",http://www.sec.gov/Archives/edgar/data/1580345/000159498625000008/xslF345X05/wk-form4_1756425154.xml
COTY,Mercier Laurent,Chief Financial Officer,2025-08-26,Buy,3.84,3000,"11,517","405,216",http://www.sec.gov/Archives/edgar/data/1024305/000102430525000037/xslF345X05/wk-form4_1756420197.xml
COTY,Mercier Laurent,Chief Financial Officer,2025-08-25,Buy,3.96,12500,"49,500","402,216",http://www.sec.gov/Archives/edgar/data/1024305/000102430525000037/xslF345X05/wk-form4_1756420197.xml
MYSE,Myman Darin M,Chief Executive Officer,2025-08-28,Buy,2.2,2000,"4,392","184,516",http://www.sec.gov/Archives/edgar/data/1349673/000121390025081924/xslF345X05/ownership.xml
ICU,Van Heel Kenneth,Director,2025-08-27,Buy,0.86,10000,"8,565","49,400",http://www.sec.gov/Archives/edgar/data/1613111/000121465925013006/xslF345X05/marketforms-70411.xml
ICU,Van Heel Kenneth,Director,2025-08-26,Buy,0.89,25000,"22,248","39,400",http://www.sec.gov/Archives/edgar/data/1613111/000121465925013006/xslF345X05/marketforms-70411.xml
ONL,GILYARD REGINALD HAROLD,Director,2025-08-27,Buy,2.91,55000,"160,006","227,778",http://www.sec.gov/Archives/edgar/data/1706594/000187392325000121/xslF345X05/wk-form4_1756415118.xml
RLMD,TRAVERSA SERGIO,Chief Executive Officer,2025-08-28,Buy,0.74,55976,"41,422","1,000,000",http://www.sec.gov/Archives/edgar/data/1553643/000121390025081837/xslF345X05/ownership.xml
RLMD,TRAVERSA SERGIO,Chief Executive Officer,2025-08-27,Buy,0.67,129455,"86,735","944,024",http://www.sec.gov/Archives/edgar/data/1553643/000121390025081837/xslF345X05/ownership.xml
RLMD,TRAVERSA SERGIO,Chief Executive Officer,2025-08-26,Buy,0.62,80545,"49,938","814,569",http://www.sec.gov/Archives/edgar/data/1553643/000121390025081837/xslF345X05/ownership.xml
CMT,Panda Alex Joseph,"EVP, Treasurer, Secretary, CFO",2025-08-26,Buy,19.1,200,"3,820","30,596",http://www.sec.gov/Archives/edgar/data/1026655/000207216725000012/xslF345X05/wk-form4_1756414493.xml
GLP,Global GP LLC,General Partner,2025-08-28,Buy,52.75,5000,"263,750","147,001",http://www.sec.gov/Archives/edgar/data/1323468/000106299325015048/xslF345X05/form4.xml
GLP,Global GP LLC,General Partner,2025-08-27,Buy,51.97,5000,"259,850","142,001",http://www.sec.gov/Archives/edgar/data/1323468/000106299325015048/xslF345X05/form4.xml
GLP,Global GP LLC,General Partner,2025-08-26,Buy,51.14,5000,"255,700","137,001",http://www.sec.gov/Archives/edgar/data/1323468/000106299325015048/xslF345X05/form4.xml
SELF,WINMILL & CO. INC,"See ""Explanation of Responses""",2025-08-28,Buy,5.42,7209,"39,093","71,142",http://www.sec.gov/Archives/edgar/data/52234/000103123525000022/xslF345X05/primary_doc.xml
SELF,WINMILL & CO. INC,"See ""Explanation of Responses""",2025-08-27,Buy,5.36,5477,"29,345","63,933",http://www.sec.gov/Archives/edgar/data/52234/000103123525000022/xslF345X05/primary_doc.xml
STRC,Le Phong,President & CEO,2025-08-26,Buy,95.03,119,"11,309",71,http://www.sec.gov/Archives/edgar/data/1050446/000095017025111976/xslF345X05/ownership.xml
MSTR,Le Phong,President & CEO,2025-08-26,Buy,95.03,119,"11,309",71,http://www.sec.gov/Archives/edgar/data/1050446/000095017025111976/xslF345X05/ownership.xml
IFS,INTERCORP PERU LTD,10% Owner,2025-08-27,Buy,19.68,114075,"2,245,000","3,073,484",http://www.sec.gov/Archives/edgar/data/1615903/000095017025111961/xslF345X05/ownership.xml
SHEN,"ECP ControlCo, LLC",10% Owner,2025-08-27,Buy,13.35,200,"2,669","3,350,875",http://www.sec.gov/Archives/edgar/data/354963/000164117225025810/xslF345X05/ownership.xml
SHEN,"ECP ControlCo, LLC",10% Owner,2025-08-26,Buy,13.27,7053,"93,564","3,350,675",http://www.sec.gov/Archives/edgar/data/354963/000164117225025810/xslF345X05/ownership.xml
SHEN,"ECP Fiber Holdings GP, LLC",10% Owner,2025-08-27,Buy,13.35,200,"2,669","3,350,875",http://www.sec.gov/Archives/edgar/data/354963/000164117225025809/xslF345X05/ownership.xml
SHEN,"ECP Fiber Holdings GP, LLC",10% Owner,2025-08-26,Buy,13.27,7053,"93,564","3,350,675",http://www.sec.gov/Archives/edgar/data/354963/000164117225025809/xslF345X05/ownership.xml
BHR,Stockton Richard J,CEO and President,2025-08-27,Buy,15.71,8002,"125,733","16,152",http://www.sec.gov/Archives/edgar/data/1574085/000110465925084767/xslF345X05/tm2524643-1_4seq1.xml
MTCH,Rascoff Spencer M,Chief Executive Officer,2025-08-26,Buy,37.57,13250,"497,861","150,728",http://www.sec.gov/Archives/edgar/data/891103/000089110325000138/xslF345X05/wk-form4_1756412054.xml
EMN,OBRIEN JAMES J /KY,Director,2025-08-27,Buy,68.81,1450,"99,776","6,828",http://www.sec.gov/Archives/edgar/data/915389/000102358225000004/xslF345X05/wk-form4_1756412046.xml
EMN,Mink Kim Ann,Director,2025-08-27,Buy,69.38,1450,"100,601","2,840",http://www.sec.gov/Archives/edgar/data/915389/000166095125000004/xslF345X05/wk-form4_1756412021.xml
BJ,Ortega Steven L,Director,2025-08-26,Buy,96.09,2080,"199,867","12,383",http://www.sec.gov/Archives/edgar/data/1531152/000153115225000107/xslF345X05/wk-form4_1756412008.xml
EMN,Holder Julie Fasone,Director,2025-08-27,Buy,68.8,1453,"99,966","17,546",http://www.sec.gov/Archives/edgar/data/915389/000153651225000003/xslF345X05/wk-form4_1756411859.xml
FLD,Young Bracebridge H Jr,Director,2025-08-26,Buy,3.45,8500,"29,305","23,500",http://www.sec.gov/Archives/edgar/data/1889123/000095017025111952/xslF345X05/ownership.xml
EMN,BUTLER ERIC L,Director,2025-08-27,Buy,68.65,3000,"205,958","9,330",http://www.sec.gov/Archives/edgar/data/915389/000154418425000003/xslF345X05/wk-form4_1756411791.xml
EMN,BEGEMANN BRETT D,Director,2025-08-27,Buy,68.28,1500,"102,428","9,520",http://www.sec.gov/Archives/edgar/data/915389/000124398225000007/xslF345X05/wk-form4_1756411705.xml
EMN,Audia Damon J,Director,2025-08-27,Buy,68.58,1465,"100,477","1,597",http://www.sec.gov/Archives/edgar/data/915389/000145230125000006/xslF345X05/wk-form4_1756411644.xml
BLIN,Kahn Roger E.,President and CEO,2025-08-26,Buy,1.38,39500,"54,510","1,296,789",http://www.sec.gov/Archives/edgar/data/1378590/000143774925027940/xslF345X05/rdgdoc.xml
