ticker,insider_name,transaction_date,transaction_type,price,shares,value,relationship,sec_form4,market_open_at_trade,market_close_at_trade,high_at_trade,low_at_trade,sma_20_at_trade,rsi_14_at_trade,sma_20_prev,price_prev,high_plus_7d,low_plus_7d,max_gain_7d,max_drawdown_7d,high_plus_14d,low_plus_14d,max_gain_14d,max_drawdown_14d,high_plus_30d,low_plus_30d,max_gain_30d,max_drawdown_30d,high_minus_7d,low_minus_7d,high_minus_15d,low_minus_15d,final_gain_30d,case_2_outcome,atr_14,atr_14_pct,ownership_pct,tags,outcome_case_1,outcome_case_2,score,bucket
AVGO,You Harry L.,2025-09-10,Buy,363.38,500,181688,Director,http://www.sec.gov/Archives/edgar/data/1432602/000173016825000100/xslF345X05/wk-form4_1757552852.xml,351.5199890136719,369.5700073242187,372.9700012207031,350.54998779296875,309.7070053100586,76.8673950442018,306.87000427246096,336.6700134277344,,,,,,,,,,,,,356.3399963378906,296.3999938964844,356.3399963378906,287.1700134277344,,,15.034284319196429,0.0406804773689523,0.0,"['📋 Director', '🏔️ MEGA CAP', '📡 Tech', '📉 BELOW CLOSE', '📈 ABOVE SMA20', '🚀 OVERBOUGHT (RSI > 70)', '💪 STRONG TREND']",,,5,Medium (5 - 7)
ASA,"Saba Capital Management, L.P.",2025-09-10,Buy,40.34,19126,771543,10% Owner,http://www.sec.gov/Archives/edgar/data/1230869/000151028125000467/xslF345X05/primary_doc.xml,40.41999816894531,40.27000045776367,40.45000076293945,39.84000015258789,,,,39.959999084472656,,,,,,,,,,,,,40.970001220703125,38.099998474121094,40.970001220703125,36.2599983215332,,,1.0471433912004744,0.0260030638017684,0.001161,"['🔟 10% Owner', '💰 LARGE TRADE', '🌱 SMALL CAP', '🏦 Financial', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,11,High (8 - 11)
DGICA,DONEGAL MUTUAL INSURANCE CO,2025-09-10,Buy,18.99,20000,379896,10% Owner,http://www.sec.gov/Archives/edgar/data/800457/000093559625000011/xslF345X05/wk-form4_1757682478.xml,19.18000030517578,19.100000381469727,19.270000457763672,18.709999084472656,,,,19.280000686645508,,,,,,,,,,,,,19.549999237060547,18.200000762939453,19.549999237060547,17.309999465942383,,,0.4514286858694894,0.0236350092593428,0.000611,"['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP', '🏦 Financial', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,10,High (8 - 11)
SHEN,"ECP Fiber Holdings GP, LLC",2025-09-10,Buy,13.29,13541,179912,10% Owner,http://www.sec.gov/Archives/edgar/data/354963/000149315225013209/xslF345X05/ownership.xml,13.579999923706056,13.270000457763672,13.720000267028809,13.109999656677246,,,,13.630000114440918,,,,,,,,,,,,,14.3100004196167,12.670000076293944,14.3100004196167,12.670000076293944,,,0.4835715975080224,0.0364409631369007,0.000223,"['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP', '📞 Communication', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,9,High (8 - 11)
AROW,Ivanov Penko Krassimir,2025-09-10,Buy,29.1,5000,145499,"SEVP, Treasurer and CFO",http://www.sec.gov/Archives/edgar/data/717538/000157782725000009/xslF345X05/wk-form4_1757691124.xml,28.86000061035156,29.11000061035156,29.3799991607666,28.5,,,,28.88999938964844,,,,,,,,,,,,,29.989999771118164,28.709999084472656,30.219999313354492,27.969999313354492,,,0.9128571919032508,0.0313588860447717,0.000321,"['💼 CFO', '🟢 SMALL TRADE', '🌱 SMALL CAP', '🏦 Financial', '⚠️ INSUFFICIENT DATA FOR MA/RSI']",,,9,High (8 - 11)
SHEN,"ECP ControlCo, LLC",2025-09-10,Buy,13.29,13541,179912,10% Owner,http://www.sec.gov/Archives/edgar/data/354963/000149315225013208/xslF345X05/ownership.xml,13.579999923706056,13.270000457763672,13.720000267028809,13.109999656677246,,,,13.630000114440918,,,,,,,,,,,,,14.3100004196167,12.670000076293944,14.3100004196167,12.670000076293944,,,0.4835715975080224,0.0364409631369007,0.000223,"['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP', '📞 Communication', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,9,High (8 - 11)
FRPT,Alexander Lisa Axt,2025-09-10,Buy,53.53,100,5353,GC & Corp. Sec.,http://www.sec.gov/Archives/edgar/data/1611647/000092963825003441/xslF345X05/form4.xml,56.82500076293945,53.40999984741211,57.0,52.70000076293945,58.201500511169435,35.14598576119444,58.66600055694581,57.029998779296875,,,,,,,,,,,,,57.130001068115234,52.27000045776367,58.52000045776367,52.27000045776367,,,2.6324991498674666,0.0492885069722579,2e-06,"['🕵️ Other', '🌿 MID CAP', '🥫 Consumer Defensive', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)', '📉 DIP SETUP', '🔁 CLUSTER BUY']",,,7,Medium (5 - 7)
FRPT,BREWSTER DARYL G,2025-09-10,Buy,57.0,216,12312,Director,http://www.sec.gov/Archives/edgar/data/1200559/000092963825003439/xslF345X05/form4.xml,56.82500076293945,53.40999984741211,57.0,52.70000076293945,58.201500511169435,35.14598576119444,58.66600055694581,57.029998779296875,,,,,,,,,,,,,57.130001068115234,52.27000045776367,58.52000045776367,52.27000045776367,,,2.6324991498674666,0.0492885069722579,5e-06,"['📋 Director', '🌿 MID CAP', '🥫 Consumer Defensive', '📈 ABOVE CLOSE', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)', '📉 DIP SETUP', '🔁 CLUSTER BUY']",,,8,High (8 - 11)
FRPT,MCLEVISH TIMOTHY R,2025-09-10,Buy,56.0,3500,196000,Director,http://www.sec.gov/Archives/edgar/data/1215826/000092963825003440/xslF345X05/form4.xml,56.82500076293945,53.40999984741211,57.0,52.70000076293945,58.201500511169435,35.14598576119444,58.66600055694581,57.029998779296875,,,,,,,,,,,,,57.130001068115234,52.27000045776367,58.52000045776367,52.27000045776367,,,2.6324991498674666,0.0492885069722579,7.6e-05,"['📋 Director', '🌿 MID CAP', '🥫 Consumer Defensive', '📈 ABOVE CLOSE', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)', '📉 DIP SETUP', '🔁 CLUSTER BUY']",,,8,High (8 - 11)
BHB,Shaw Brian D,2025-09-10,Buy,32.09,10000,320850,Director,http://www.sec.gov/Archives/edgar/data/743367/000141588925024258/xslF345X05/form4-09112025_040933.xml,32.02000045776367,31.799999237060547,32.22999954223633,31.440000534057617,31.69300012588501,53.22244921720402,31.70500020980835,31.690000534057617,,,,,,,,,,,,,32.79999923706055,31.3700008392334,32.79999923706055,31.3700008392334,,,0.7521424974714009,0.023652280362159,0.000586,"['📋 Director', '🟢 SMALL TRADE', '🌱 SMALL CAP', '🏦 Financial', '📈 ABOVE SMA20', '⚡️ SMA SUPPORT RECLAIMED', '🟡 NEUTRAL (RSI)']",,,10,High (8 - 11)
BRT,GOULD FREDRIC H,2025-09-09,Buy,15.830000000000002,12419,196567,Director,http://www.sec.gov/Archives/edgar/data/14846/000121465925013662/xslF345X05/marketforms-70749.xml,15.770000457763672,15.949999809265137,15.989999771118164,15.479999542236328,,,,15.75,,,,,,,,,,,,,15.960000038146973,15.399999618530272,16.0,15.399999618530272,,,0.3971429552350724,0.0248992451400769,0.000713,"['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏘️ Real Estate', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,6,Medium (5 - 7)
SHEN,"ECP ControlCo, LLC",2025-09-09,Buy,13.39,362,4846,10% Owner,http://www.sec.gov/Archives/edgar/data/354963/000149315225012999/xslF345X05/ownership.xml,13.600000381469728,13.630000114440918,13.710000038146973,13.329999923706056,,,,13.630000114440918,,,,,,,,,,,,,14.3100004196167,12.670000076293944,14.3100004196167,12.670000076293944,,,0.4550001280648373,0.0333822541632092,6e-06,"['🔟 10% Owner', '🌱 SMALL CAP', '📞 Communication', '📉 BELOW CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,8,High (8 - 11)
FRPT,Kelley Jacki Sue,2025-09-09,Buy,56.5,814,45991,Director,http://www.sec.gov/Archives/edgar/data/1611647/000092963825003438/xslF345X05/form4.xml,55.20000076293945,57.029998779296875,57.130001068115234,55.189998626708984,58.66600055694581,41.97018599461274,58.933000564575195,55.720001220703125,,,,,,,,,,,,,56.404998779296875,52.27000045776367,61.94499969482422,52.27000045776367,,,2.5074991498674666,0.0439680730061271,1.8e-05,"['📋 Director', '🌿 MID CAP', '🥫 Consumer Defensive', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)', '🔁 CLUSTER BUY']",,,6,Medium (5 - 7)
DGICA,DONEGAL MUTUAL INSURANCE CO,2025-09-09,Buy,19.24,19352,372292,10% Owner,http://www.sec.gov/Archives/edgar/data/800457/000093559625000010/xslF345X05/wk-form4_1757508797.xml,19.329999923706055,19.280000686645508,19.510000228881836,19.100000381469727,,,,19.290000915527344,,,,,,,,,,,,,19.549999237060547,17.799999237060547,19.549999237060547,17.309999465942383,,,0.4335715430123465,0.0224881497702779,0.000599,"['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP', '🏦 Financial', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,10,High (8 - 11)
