ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4,tags,ownership_pct
SIGI,Cavanaugh Terrence W,Director,2025-07-25,Buy,75.72,2000,"151,430","25,295",https://finviz.com/http://www.sec.gov/Archives/edgar/data/230557/000122520825006767/xslF345X05/doc4.xml,"['📋 Director', '🌿 MID CAP']",3.2e-05
PMT,Lynch Catherine A.,Director,2025-07-25,Buy,12.41,1366,"16,954","51,888",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1464423/000112760225019676/xslF345X05/form4.xml,"['📋 Director', '🌱 SMALL CAP']",1.6e-05
LOOP,Hart Spencer,Director,2025-07-25,Buy,1.32,27562,"36,498","311,249",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1504678/000143774925023698/xslF345X05/rdgdoc.xml,"['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP']",0.000455
CHMG,STREETER JEFFREY B,Director,2025-07-25,Buy,52.94,5000,"264,678","26,590",https://finviz.com/http://www.sec.gov/Archives/edgar/data/763563/000076356325000090/xslF345X05/wk-form4_1753462294.xml,"['📋 Director', '💰 LARGE TRADE', '🐣 MICRO CAP']",0.001047
SIGI,Eppers Joseph,"EVP, Chief Investment Officer",2025-07-25,Buy,76.82,1402,"107,702","12,492",https://finviz.com/http://www.sec.gov/Archives/edgar/data/230557/000122520825006771/xslF345X05/doc4.xml,"['📈 CIO', '🌿 MID CAP']",2.3e-05
NBBK,EVANGELISTA PAUL A,"EVP, Dir Spec. Bank. Ctr.",2025-07-25,Buy,18.39,500,"9,195","24,566",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1246206/000143774925023509/xslF345X05/rdgdoc.xml,"['🧍 EVP', '🌱 SMALL CAP']",1.2e-05
CBAN,Fountain T Heath,President and CEO,2025-07-25,Buy,16.61,900,"14,946","81,078",https://finviz.com/http://www.sec.gov/Archives/edgar/data/711669/000071166925000142/xslF345X05/wk-form4_1753474715.xml,"['👑 CEO', '🐣 MICRO CAP']",5.2e-05
CBAN,Fountain T Heath,President and CEO,2025-07-25,Buy,16.62,100,"1,662","1,450",https://finviz.com/http://www.sec.gov/Archives/edgar/data/711669/000071166925000142/xslF345X05/wk-form4_1753474715.xml,"['👑 CEO', '🐣 MICRO CAP']",6e-06
WTFC,WEHMER EDWARD J,FOUNDER AND SENIOR ADVISOR,2025-07-25,Buy,26.35,3919,"103,266","3,919",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1015328/000101532825000175/xslF345X05/wk-form4_1753733415.xml,"['🕵️ Other', '🌿 MID CAP']",1.2e-05
WTFC,WEHMER EDWARD J,FOUNDER AND SENIOR ADVISOR,2025-07-25,Buy,26.35,2382,"62,766","2,382",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1015328/000101532825000175/xslF345X05/wk-form4_1753733415.xml,"['🕵️ Other', '🌿 MID CAP']",7e-06
MH,Sigler Mary Ann,Director,2025-07-25,Buy,17.0,7500,"127,500","7,500",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1490592/000110465925070862/xslF345X05/tm2521734-1_4seq1.xml,"['📋 Director', '🌿 MID CAP']",4e-05
REZI,"CD&R Channel Holdings II, L.P.",10% Owner,2025-07-25,Buy,22.33,4477919,"99,999,992","10,232,420",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1740332/000095017025098867/xslF345X05/ownership.xml,"['🔟 10% Owner', '🔥 VERY LARGE TRADE', '🌿 MID CAP']",0.027098
CB,CORBAT MICHAEL,Director,2025-07-25,Buy,269.8,425,"114,665","2,450",https://finviz.com/http://www.sec.gov/Archives/edgar/data/896159/000121390025068194/xslF345X05/ownership.xml,"['📋 Director', '🌳 LARGE CAP']",1e-06
TPL,HORIZON KINETICS ASSET MANAGEM,10% Owner,2025-07-25,Buy,966.55,1,967,"1,163,961",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1056823/000143774925023577/xslF345X05/rdgdoc.xml,"['🔟 10% Owner', '🌳 LARGE CAP']",0.0
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-07-25,Buy,2.58,774,"1,997","316,070",https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925023574/xslF345X05/rdgdoc.xml,"['🎖️ President', '🟢 SMALL TRADE', '🐣 MICRO CAP']",0.000109
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-07-25,Buy,2.58,356,918,"97,834",https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925023574/xslF345X05/rdgdoc.xml,"['🎖️ President', '🐣 MICRO CAP']",5e-05
CARL,ROOT JONATHAN D,Director,2025-07-24,Buy,15.0,466666,"6,999,990","483,999",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1225480/000095017025098529/xslF345X05/ownership.xml,"['📋 Director', '🔥 VERY LARGE TRADE', '🌱 SMALL CAP']",0.018206
NIQ,Palm Jamie E,Chief Accounting Officer,2025-07-24,Buy,21.0,5000,"105,000","63,478",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1771481/000095017025099331/xslF345X05/ownership.xml,"['🕵️ Other', '🌿 MID CAP']",1.9e-05
