ticker, insider_name                    , relationship                   , transaction_date, transaction_type, price  , shares , value       , shares_total , sec_form4                                                                                                                 , market_close_at_trade, high_plus_7d         , low_plus_7d         , max_gain_7d          , max_drawdown_7d      , high_plus_14d     , low_plus_14d      , max_gain_14d       , max_drawdown_14d   , high_plus_30d     , low_plus_30d      , max_gain_30d      , max_drawdown_30d     , high_minus_7d        , low_minus_7d        , high_minus_15d       , low_minus_15d       , tags                                                                                                                                                                                               , ownership_pct
RCG   , STAHL MURRAY                    , President/Co-Portfolio Manager , 2025-07-28      , Buy             ,    2.6 ,     774, "2,012"     , "316,366"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925023738/xslF345X05/rdgdoc.xml                 ,    2.569999933242798 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    2.650000095367432 ,   2.549999952316284 ,    2.680000066757202 ,   2.549999952316284 , "['🎖️ President', '🟢 SMALL TRADE', '🐣 MICRO CAP', '📈 ABOVE CLOSE']"                                                                                                                             , 0.00011
CHCO  , STRONG-TREISTER DIANE W         , Director                       , 2025-07-28      , Buy             ,  127.05,     102, "12,959"    , "3,349"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/726854/000072685425000161/xslF345X05/wk-form4_1753819258.xml    ,  126.66000366210938  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  133.58999633789062  , 123.94000244140624  ,  133.58999633789062  , 120.5               , "['📋 Director', '🌱 SMALL CAP']"                                                                                                                                                                  , 7e-06
CHCO  , Reyes Javier A                  , Director                       , 2025-07-28      , Buy             ,  127.05,      90, "11,434"    , "1,707"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/726854/000072685425000160/xslF345X05/wk-form4_1753819087.xml    ,  126.66000366210938  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  133.58999633789062  , 123.94000244140624  ,  133.58999633789062  , 120.5               , "['📋 Director', '🌱 SMALL CAP']"                                                                                                                                                                  , 6e-06
SIGI  , McCarthy Thomas A               , Director                       , 2025-07-28      , Buy             ,   77.42,    2500, "193,550"   , "18,746"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/230557/000122520825006833/xslF345X05/doc4.xml                   ,   78.43000030517578  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   91.62999725341795  ,  71.75              ,   91.62999725341795  ,  71.75              , "['📋 Director', '🌿 MID CAP', '📉 DIP BUY', '🚀 BUYING INTO STRENGTH', '📉 BELOW CLOSE']"                                                                                                         , 4.1e-05
AUB   , Asbury John C                   , PRESIDENT AND CEO              , 2025-07-28      , Buy             ,   32.91,    7500, "246,825"   , "270,532"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/883948/000141588925020438/xslF345X05/form4-07292025_050737.xml  ,   32.86000061035156  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   34.0               ,  32.349998474121094 ,   34.0               ,  31.489999771118164 , "['👑 CEO', '🌿 MID CAP']"                                                                                                                                                                         , 5.3e-05
DOC   , Brinker Scott M                 , President and CEO              , 2025-07-28      , Buy             ,   17.4 ,    2873, "49,990"    , "207,486"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/765880/000162828025036352/xslF345X05/wk-form4_1753804954.xml    ,   17.260000228881836 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   19.1299991607666   ,  17.479999542236328 ,   19.1299991607666   ,  17.479999542236328 , "['👑 CEO', '🌳 LARGE CAP']"                                                                                                                                                                       , 4e-06
NG    , Schutt Ethan                    , Director                       , 2025-07-28      , Buy             ,    5.23,    3824, "20,000"    , "51,735"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1173420/000121465925010997/xslF345X05/marketforms-70148.xml     ,    5.230000019073486 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    6.159999847412109 ,   5.289999961853027 ,    6.159999847412109 ,   4.800000190734863 , "['📋 Director', '🌿 MID CAP', '🚀 BUYING INTO STRENGTH']"                                                                                                                                         , 9e-06
SIGI  , Marchioni John J.               , President and CEO              , 2025-07-28      , Buy             ,   77.89,    3200, "249,248"   , "139,775"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/230557/000122520825006817/xslF345X05/doc4.xml                   ,   78.43000030517578  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   91.62999725341795  ,  71.75              ,   91.62999725341795  ,  71.75              , "['👑 CEO', '🌿 MID CAP', '📉 DIP BUY', '🚀 BUYING INTO STRENGTH']"                                                                                                                                , 5.2e-05
TPL   , HORIZON KINETICS ASSET MANAGEM  , 10% Owner                      , 2025-07-28      , Buy             ,  980.04,       1, 980         , "1,163,962"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1056823/000143774925023739/xslF345X05/rdgdoc.xml                ,  976.5700073242188   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      , 1004.7100219726562   , 907.8200073242188   , 1040.8900146484375   , 907.8200073242188   , "['🔟 10% Owner', '🌳 LARGE CAP']"                                                                                                                                                                 , 0.0
RCG   , STAHL MURRAY                    , President/Co-Portfolio Manager , 2025-07-28      , Buy             ,    2.6 ,     356, 926         , "98,190"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925023738/xslF345X05/rdgdoc.xml                 ,    2.569999933242798 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    2.650000095367432 ,   2.549999952316284 ,    2.680000066757202 ,   2.549999952316284 , "['🎖️ President', '🐣 MICRO CAP', '📈 ABOVE CLOSE']"                                                                                                                                               , 5.1e-05
EBF   , Gruenes Walter D                , Director                       , 2025-07-28      , Buy             ,   17.99,    5500, "98,945"    , "10,743"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/33002/000207909325000003/xslF345X05/primary_doc.xml             ,   18.11000061035156  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   18.21999931335449  ,  17.65999984741211  ,   18.450000762939453 ,  17.530000686645508 , "['📋 Director', '🟢 SMALL TRADE', '🌱 SMALL CAP']"                                                                                                                                                , 0.000213
CB    , CORBAT MICHAEL                  , Director                       , 2025-07-25      , Buy             ,  269.8 ,     425, "114,665"   , "2,450"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/896159/000121390025068194/xslF345X05/ownership.xml              ,  269.1499938964844   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  279.45001220703125  , 264.5400085449219   ,  281.2699890136719   , 264.5400085449219   , "['📋 Director', '🌳 LARGE CAP']"                                                                                                                                                                  , 1e-06
SHEN  , "ECP Fiber Holdings GP, LLC"    , 10% Owner                      , 2025-07-25      , Buy             ,   15.22,   10264, "156,259"   , "2,992,605"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225021405/xslF345X05/ownership.xml              ,   15.170000076293944 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   15.8100004196167   ,  14.65999984741211  ,   15.84000015258789  ,  14.3100004196167   , "['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP']"                                                                                                                                               , 0.000189
MTH   , ARRIOLA DENNIS V                , Director                       , 2025-07-25      , Buy             ,   70.0 ,    2200, "154,000"   , "9,512"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/833079/000083307925000123/xslF345X05/wk-form4_1753835879.xml    ,   69.7699966430664   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   76.2699966430664   ,  67.5               ,   76.58999633789062  ,  67.5               , "['📋 Director', '🌿 MID CAP']"                                                                                                                                                                    , 3.1e-05
CVM   , Watson Robert Eugene            , Director                       , 2025-07-25      , Buy             ,    6.85,    2919, "19,995"    , "3,733"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/725363/000123603025000008/xslF345X05/primary_doc.xml            ,    8.199999809265137 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    7.679999828338623 ,   3.950000047683716 ,    7.679999828338623 ,   2.9100000858306885, "['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP', '📉 DIP BUY', '🚀 BUYING INTO STRENGTH', '📉 BELOW CLOSE']"                                                                                     , 0.000357
SONO  , "Coliseum Capital Management, L", 10% Owner                      , 2025-07-25      , Buy             ,   11.18,  287087, "3,209,633" , "13,480,191" , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1314727/000095017025099831/xslF345X05/ownership.xml             ,   11.25              ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   11.43000030517578  ,  10.470000267028809 ,   11.43000030517578  ,  10.279999732971191 , "['🔟 10% Owner', '💰 LARGE TRADE', '🌱 SMALL CAP', '🚀 BUYING INTO STRENGTH']"                                                                                                                    , 0.002254
RCG   , STAHL MURRAY                    , President/Co-Portfolio Manager , 2025-07-25      , Buy             ,    2.58,     774, "1,997"     , "316,070"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925023574/xslF345X05/rdgdoc.xml                 ,    2.5999999046325684,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    2.650000095367432 ,   2.569999933242798 ,    2.700000047683716 ,   2.569999933242798 , "['🎖️ President', '🟢 SMALL TRADE', '🐣 MICRO CAP']"                                                                                                                                               , 0.000109
RCG   , STAHL MURRAY                    , President/Co-Portfolio Manager , 2025-07-25      , Buy             ,    2.58,     356, 918         , "97,834"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925023574/xslF345X05/rdgdoc.xml                 ,    2.5999999046325684,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    2.650000095367432 ,   2.569999933242798 ,    2.700000047683716 ,   2.569999933242798 , "['🎖️ President', '🐣 MICRO CAP']"                                                                                                                                                                 , 5e-05
CBAN  , Fountain T Heath                , President and CEO              , 2025-07-25      , Buy             ,   16.62,     100, "1,662"     , "1,450"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/711669/000071166925000142/xslF345X05/wk-form4_1753474715.xml    ,   16.540000915527344 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   18.049999237060547 ,  16.610000610351562 ,   18.049999237060547 ,  16.610000610351562 , "['👑 CEO', '🐣 MICRO CAP']"                                                                                                                                                                       , 6e-06
BUSE  , BRADSHAW STANLEY J              , Director                       , 2025-07-25      , Buy             ,   23.25,    2500, "58,125"    , "495,269"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/314489/000031448925000254/xslF345X05/wk-form4_1753820501.xml    ,   23.21999931335449  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   24.6299991607666   ,  23.13999938964844  ,   24.6299991607666   ,  23.13999938964844  , "['📋 Director', '🌿 MID CAP']"                                                                                                                                                                    , 2.8e-05
REZI  , "CD&R Channel Holdings II, L.P.", 10% Owner                      , 2025-07-25      , Buy             ,   22.33, 4477919, "99,999,992", "10,232,420" , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1740332/000095017025098867/xslF345X05/ownership.xml             ,   24.43000030517578  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   24.739999771118164 ,  23.90999984741211  ,   24.739999771118164 ,  22.93000030517578  , "['🔟 10% Owner', '🔥 VERY LARGE TRADE', '🌿 MID CAP', '📉 BELOW CLOSE']"                                                                                                                          , 0.027098
MH    , Sigler Mary Ann                 , Director                       , 2025-07-25      , Buy             ,   17.0 ,    7500, "127,500"   , "7,500"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1490592/000110465925070862/xslF345X05/tm2521734-1_4seq1.xml     ,   16.809999465942383 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🌿 MID CAP', '📈 ABOVE CLOSE']"                                                                                                                                                  , 4e-05
WTFC  , WEHMER EDWARD J                 , FOUNDER AND SENIOR ADVISOR     , 2025-07-25      , Buy             ,   26.35,    2382, "62,766"    , "2,382"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1015328/000101532825000175/xslF345X05/wk-form4_1753733415.xml   ,  132.11000061035156  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  136.7899932861328   , 131.0800018310547   ,  136.7899932861328   , 127.33000183105467  , "['🕵️ Other', '🌿 MID CAP', '📉 BELOW CLOSE']"                                                                                                                                                     , 7e-06
WTFC  , WEHMER EDWARD J                 , FOUNDER AND SENIOR ADVISOR     , 2025-07-25      , Buy             ,   26.35,    3919, "103,266"   , "3,919"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1015328/000101532825000175/xslF345X05/wk-form4_1753733415.xml   ,  132.11000061035156  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  136.7899932861328   , 131.0800018310547   ,  136.7899932861328   , 127.33000183105467  , "['🕵️ Other', '🌿 MID CAP', '📉 BELOW CLOSE']"                                                                                                                                                     , 1.2e-05
IKNA  , Stampacchia Otello              , Director                       , 2025-07-25      , Buy             ,   29.9 ,  267556, "7,999,924" , "454,982"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1361712/000141588925020598/xslF345X05/form4-07302025_080705.xml ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🔥 VERY LARGE TRADE', '🌱 SMALL CAP']"                                                                                                                                           , 0.011129
SIGI  , Eppers Joseph                   , "EVP, Chief Investment Officer", 2025-07-25      , Buy             ,   76.82,    1402, "107,702"   , "12,492"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/230557/000122520825006771/xslF345X05/doc4.xml                   ,   77.62999725341797  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   91.62999725341795  ,  71.75              ,   91.62999725341795  ,  71.75              , "['📈 CIO', '🌿 MID CAP', '📉 BELOW CLOSE']"                                                                                                                                                       , 2.3e-05
SHEN  , "ECP ControlCo, LLC"            , 10% Owner                      , 2025-07-25      , Buy             ,   15.22,   10264, "156,259"   , "2,992,605"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225021404/xslF345X05/ownership.xml              ,   15.170000076293944 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   15.8100004196167   ,  14.65999984741211  ,   15.84000015258789  ,  14.3100004196167   , "['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP']"                                                                                                                                               , 0.000189
NBBK  , EVANGELISTA PAUL A              , "EVP, Dir Spec. Bank. Ctr."    , 2025-07-25      , Buy             ,   18.39,     500, "9,195"     , "24,566"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1246206/000143774925023509/xslF345X05/rdgdoc.xml                ,   18.459999084472656 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   19.420000076293945 ,  17.8700008392334   ,   19.420000076293945 ,  17.8700008392334   , "['🧍 EVP', '🌱 SMALL CAP']"                                                                                                                                                                       , 1.2e-05
IMA   , Stampacchia Otello              , Director                       , 2025-07-25      , Buy             ,   29.9 ,  267556, "7,999,924" , "454,982"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1361712/000141588925020598/xslF345X05/form4-07302025_080705.xml ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🔥 VERY LARGE TRADE', '🐣 MICRO CAP']"                                                                                                                                           , 0.045105
IKNA  , Bonita David P                  , Director                       , 2025-07-25      , Buy             ,   29.9 ,   83611, "2,499,969" , "287,885"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1572451/000141588925020601/xslF345X05/form4-07302025_080741.xml ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '💰 LARGE TRADE', '🌱 SMALL CAP']"                                                                                                                                                , 0.003478
CHMG  , STREETER JEFFREY B              , Director                       , 2025-07-25      , Buy             ,   52.94,    5000, "264,678"   , "26,590"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/763563/000076356325000090/xslF345X05/wk-form4_1753462294.xml    ,   52.33000183105469  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   54.18999862670898  ,  51.709999084472656 ,   54.25              ,  49.0               , "['📋 Director', '💰 LARGE TRADE', '🐣 MICRO CAP', '📈 ABOVE CLOSE']"                                                                                                                              , 0.001047
LOOP  , Hart Spencer                    , Director                       , 2025-07-25      , Buy             ,    1.32,   27562, "36,498"    , "311,249"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1504678/000143774925023698/xslF345X05/rdgdoc.xml                ,    1.3600000143051147,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    1.4149999618530271,   1.1799999475479126,    1.4149999618530271,   1.0800000429153442, "['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP', '📉 DIP BUY', '🚀 BUYING INTO STRENGTH', '📉 BELOW CLOSE']"                                                                                     , 0.000455
PMT   , Lynch Catherine A.              , Director                       , 2025-07-25      , Buy             ,   12.41,    1366, "16,954"    , "51,888"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1464423/000112760225019676/xslF345X05/form4.xml                 ,   12.390000343322754 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   13.010000228881836 ,  12.220000267028809 ,   13.25              ,  12.220000267028809 , "['📋 Director', '🌱 SMALL CAP']"                                                                                                                                                                  , 1.6e-05
SIGI  , Cavanaugh Terrence W            , Director                       , 2025-07-25      , Buy             ,   75.72,    2000, "151,430"   , "25,295"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/230557/000122520825006767/xslF345X05/doc4.xml                   ,   77.62999725341797  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   91.62999725341795  ,  71.75              ,   91.62999725341795  ,  71.75              , "['📋 Director', '🌿 MID CAP', '📉 BELOW CLOSE']"                                                                                                                                                  , 3.2e-05
NWFL  , Donnelly James O                , President & CEO                , 2025-07-25      , Buy             ,   24.4 ,     100, "2,440"     , "8,463"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1013272/000095017025099196/xslF345X05/ownership.xml             ,   24.6200008392334   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   25.01000022888184  ,  24.25              ,   25.84000015258789  ,  23.920000076293945 , "['👑 CEO', '🐣 MICRO CAP']"                                                                                                                                                                       , 1.1e-05
MH    , Cortese David                   , EVP & CDIO                     , 2025-07-25      , Buy             ,   17.0 ,    2500, "42,500"    , "2,500"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1710152/000162828025036234/xslF345X05/wk-form4_1753737233.xml   ,   16.809999465942383 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['🧍 EVP', '🌿 MID CAP', '📈 ABOVE CLOSE']"                                                                                                                                                       , 1.3e-05
MH    , Tiska Tracey                    , EVP & CHRO                     , 2025-07-25      , Buy             ,   17.0 ,    4000, "68,000"    , "4,000"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1951070/000162828025036233/xslF345X05/wk-form4_1753737226.xml   ,   16.809999465942383 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['🧍 EVP', '🌿 MID CAP', '📈 ABOVE CLOSE']"                                                                                                                                                       , 2.1e-05
MH    , Sallmann Robert                 , EVP & CFO                      , 2025-07-25      , Buy             ,   17.0 ,    3000, "51,000"    , "3,000"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1951070/000162828025036232/xslF345X05/wk-form4_1753737219.xml   ,   16.809999465942383 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['💼 CFO', '🌿 MID CAP', '📈 ABOVE CLOSE']"                                                                                                                                                       , 1.6e-05
MSCI  , Fernandez Henry A               , Chairman and CEO               , 2025-07-25      , Buy             ,  548.69,      84, "46,090"    , "1,279,951"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1408198/000140819825000181/xslF345X05/wk-form4_1753734612.xml   ,  546.2899780273438   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  584.5599975585938   , 525.0               ,  586.8800048828125   , 525.0               , "['👑 CEO', '🌳 LARGE CAP']"                                                                                                                                                                       , 1e-06
CBAN  , Canup Edward G                  , CHIEF BANKING OFFICER          , 2025-07-25      , Buy             ,   16.54,    1500, "24,815"    , "16,267"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/711669/000071166925000140/xslF345X05/wk-form4_1753474628.xml    ,   16.540000915527344 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   18.049999237060547 ,  16.610000610351562 ,   18.049999237060547 ,  16.610000610351562 , "['🕵️ Other', '🐣 MICRO CAP']"                                                                                                                                                                     , 8.6e-05
TPL   , HORIZON KINETICS ASSET MANAGEM  , 10% Owner                      , 2025-07-25      , Buy             ,  966.55,       1, 967         , "1,163,961"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1056823/000143774925023577/xslF345X05/rdgdoc.xml                ,  979.2899780273438   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      , 1011.97998046875     , 907.8200073242188   , 1063.8699951171875   , 907.8200073242188   , "['🔟 10% Owner', '🌳 LARGE CAP', '📉 BELOW CLOSE']"                                                                                                                                               , 0.0
CVM   , KERSTEN GEERT R                 , Chief Executive Officer        , 2025-07-25      , Buy             ,    6.85,   29197, "199,999"   , "72,835"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/725363/000123603025000007/xslF345X05/primary_doc.xml            ,    8.199999809265137 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    7.679999828338623 ,   3.950000047683716 ,    7.679999828338623 ,   2.9100000858306885, "['👑 CEO', '💰 LARGE TRADE', '🐣 MICRO CAP', '📉 DIP BUY', '🚀 BUYING INTO STRENGTH', '📉 BELOW CLOSE']"                                                                                          , 0.003576
CBAN  , Fountain T Heath                , President and CEO              , 2025-07-25      , Buy             ,   16.61,     900, "14,946"    , "81,078"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/711669/000071166925000142/xslF345X05/wk-form4_1753474715.xml    ,   16.540000915527344 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   18.049999237060547 ,  16.610000610351562 ,   18.049999237060547 ,  16.610000610351562 , "['👑 CEO', '🐣 MICRO CAP']"                                                                                                                                                                       , 5.2e-05
ARX   , Hasley Nancy                    , General Counsel                , 2025-07-25      , Buy             ,   21.0 ,     500, "10,500"    , 500          , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1997350/000090514825002633/xslF345X05/form4.xml                 ,   29.790000915527344 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['🕵️ Other', '🌿 MID CAP', '📉 BELOW CLOSE']"                                                                                                                                                     , 2e-06
IMA   , Bonita David P                  , Director                       , 2025-07-25      , Buy             ,   29.9 ,   83611, "2,499,969" , "287,885"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1572451/000141588925020601/xslF345X05/form4-07302025_080741.xml ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🔥 VERY LARGE TRADE', '🐣 MICRO CAP']"                                                                                                                                           , 0.014095
BUSE  , Jensen Karen M                  , Director                       , 2025-07-25      , Buy             ,   23.25,    2500, "58,125"    , "83,568"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/314489/000031448925000259/xslF345X05/wk-form4_1753820616.xml    ,   23.21999931335449  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   24.6299991607666   ,  23.13999938964844  ,   24.6299991607666   ,  23.13999938964844  , "['📋 Director', '🌿 MID CAP']"                                                                                                                                                                    , 2.8e-05
NIQ   , Palm Jamie E                    , Chief Accounting Officer       , 2025-07-24      , Buy             ,   21.0 ,    5000, "105,000"   , "63,478"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1771481/000095017025099331/xslF345X05/ownership.xml             ,   19.739999771118164 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['🕵️ Other', '🌿 MID CAP', '📈 ABOVE CLOSE']"                                                                                                                                                     , 1.9e-05
CARL  , Mittendorff Robert II           , Director                       , 2025-07-24      , Buy             ,   15.0 , 1333333, "19,999,995", "5,013,839"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1476171/000095017025098540/xslF345X05/ownership.xml             ,   14.449999809265137 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🔥 VERY LARGE TRADE', '🌱 SMALL CAP', '📈 ABOVE CLOSE']"                                                                                                                         , 0.052017
SHEN  , "ECP ControlCo, LLC"            , 10% Owner                      , 2025-07-24      , Buy             ,   15.52,    8980, "139,335"   , "2,982,341"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225021019/xslF345X05/ownership.xml              ,   15.399999618530272 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   15.779999732971191 ,  14.3100004196167   ,   15.84000015258789  ,  14.3100004196167   , "['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP']"                                                                                                                                               , 0.000169
CARL  , ROOT JONATHAN D                 , Director                       , 2025-07-24      , Buy             ,   15.0 ,  466666, "6,999,990" , "483,999"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1225480/000095017025098529/xslF345X05/ownership.xml             ,   14.449999809265137 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🔥 VERY LARGE TRADE', '🌱 SMALL CAP', '📈 ABOVE CLOSE']"                                                                                                                         , 0.018206
