ticker, insider_name                    , relationship                   , transaction_date, transaction_type, price  , shares , value       , shares_total , sec_form4                                                                                                                 , market_close_at_trade, high_plus_7d         , low_plus_7d         , max_gain_7d          , max_drawdown_7d      , high_plus_14d     , low_plus_14d      , max_gain_14d       , max_drawdown_14d   , high_plus_30d     , low_plus_30d      , max_gain_30d      , max_drawdown_30d     , high_minus_7d        , low_minus_7d        , high_minus_15d       , low_minus_15d       , tags                                                                                                                                                                                               , ownership_pct
TLYS  , Shay Capital LLC                , 10% Owner                      , 2025-07-29      , Buy             ,    1.85,   25000, "46,285"    , "3,275,000"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1524025/000119380525001131/xslF345X05/e664749_4-tlys.xml        ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['🔟 10% Owner', '🟢 SMALL TRADE', '🐣 MICRO CAP']"                                                                                                                                               , 0.000834
RCG   , STAHL MURRAY                    , President/Co-Portfolio Manager , 2025-07-29      , Buy             ,    2.6 ,     774, "2,012"     , "316,662"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925023884/xslF345X05/rdgdoc.xml                 ,    2.5999999046325684,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    2.650000095367432 ,   2.549999952316284 ,    2.680000066757202 ,   2.549999952316284 , "['🎖️ President', '🟢 SMALL TRADE', '🐣 MICRO CAP']"                                                                                                                                               , 0.00011
LEXX  , CHRISTOPHER RICHARD             , Chief Executive Officer        , 2025-07-29      , Buy             ,    0.91,   15000, "13,641"    , "65,000"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1271244/000134836225000012/xslF345X05/primary_doc.xml           ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP']"                                                                                                                                                     , 0.000762
LEXX  , BUNKA CHRISTOPHER               , Director                       , 2025-07-29      , Buy             ,    0.92,   15600, "14,375"    , "270,012"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1103780/000134836225000016/xslF345X05/primary_doc.xml           ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP']"                                                                                                                                                , 0.000803
LEXX  , Carle Vanessa                   , Secretary                      , 2025-07-29      , Buy             ,    0.91,     750, 682         , 750          , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1348362/000134836225000013/xslF345X05/primary_doc.xml           ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['🕵️ Other', '🐣 MICRO CAP']"                                                                                                                                                                     , 3.8e-05
PEBO  , SKINNER FRANCES A               , Director                       , 2025-07-29      , Buy             ,   29.54,     300, "8,862"     , "6,511"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/318300/000031830025000233/xslF345X05/wk-form4_1753892046.xml    ,   29.34000015258789  ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   32.20000076293945  ,  28.799999237060547 ,   32.20000076293945  ,  28.799999237060547 , "['📋 Director', '🌱 SMALL CAP']"                                                                                                                                                                  , 8e-06
LEXX  , DOCHERTY JOHN MARTIN            , President & CSO                , 2025-07-29      , Buy             ,    0.93,    5376, "4,989"     , "5,376"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1348362/000134836225000014/xslF345X05/primary_doc.xml           ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['🎖️ President', '🟢 SMALL TRADE', '🐣 MICRO CAP']"                                                                                                                                               , 0.000279
TPL   , HORIZON KINETICS ASSET MANAGEM  , 10% Owner                      , 2025-07-29      , Buy             ,  977.33,       1, 977         , "1,163,963"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1056823/000143774925023901/xslF345X05/rdgdoc.xml                ,  993.6199951171876   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      , 1001.47998046875     , 907.8200073242188   , 1040.8900146484375   , 907.8200073242188   , "['🔟 10% Owner', '🌳 LARGE CAP', '📉 DIP BUY', '🚀 BUYING INTO STRENGTH', '📉 BELOW CLOSE']"                                                                                                      , 0.0
NVCR  , Brackmann Christoph             , Chief Financial Officer        , 2025-07-29      , Buy             ,   11.59,   20000, "231,800"   , "141,150"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1645113/000156218025005572/xslF345X05/primarydocument.xml       ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['💼 CFO', '🟢 SMALL TRADE', '🌱 SMALL CAP']"                                                                                                                                                     , 0.000189
MSTR  , Kang Andrew                     , EVP & CFO                      , 2025-07-29      , Buy             ,   90.0 ,    2800, "252,000"   , "2,800"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1050446/000095017025099672/xslF345X05/ownership.xml             ,  394.6600036621094   ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  433.9400024414063   , 402.2000122070313   ,  457.2200012207031   , 402.2000122070313   , "['💼 CFO', '🌳 LARGE CAP', '📉 BELOW CLOSE']"                                                                                                                                                     , 2e-06
DMA   , "Saba Capital Management, L.P." , 10% Owner                      , 2025-07-29      , Buy             ,    8.62,   61989, "534,345"   , "2,096,470"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1510281/000151028125000402/xslF345X05/primary_doc.xml           ,    8.619999885559082 ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,    8.619999885559082 ,   8.4350004196167   ,    8.789999961853027 ,   8.4350004196167   , "['🔟 10% Owner', '🔥 VERY LARGE TRADE', '🐣 MICRO CAP']"                                                                                                                                          , 0.006868
