ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
FCUV,WANG DESHENG,CEO and Director,2025-08-15,Buy,2.23,11000,"24,540","2,273,800",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1163791/000168316825006262/xslF345X05/ownership.xml
ASAN,Moskovitz Dustin A.,Director,2025-08-14,Buy,13.77,225000,"3,097,260","56,879,765",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1477720/000147772025000186/xslF345X05/wk-form4_1755296615.xml
ASAN,Moskovitz Dustin A.,Director,2025-08-13,Buy,13.66,224861,"3,071,107","56,654,765",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1477720/000147772025000186/xslF345X05/wk-form4_1755296615.xml
LUMN,Stansbury Christopher,EVP and CFO,2025-08-15,Buy,4.44,40000,"177,548","535,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/18926/000001892625000099/xslF345X05/wk-form4_1755296056.xml
LUMN,Stansbury Christopher,EVP and CFO,2025-08-14,Buy,4.29,42000,"180,205","518,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/18926/000001892625000099/xslF345X05/wk-form4_1755296056.xml
BWB,Crocker Mary Jayne,EVP & CHIEF STRATEGY OFFICER,2025-08-13,Buy,20.0,100,"2,000","5,395",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1341317/000141588925022100/xslF345X05/form4-08152025_090838.xml
BRBR,CONWAY SHAWN,Director,2025-08-14,Buy,49999.99,1316,"65,824,087","8,001",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1515728/000177201625000137/xslF345X05/wk-form4_1755292132.xml
MIAX,Moore Lisa,Director,2025-08-13,Buy,23.0,5500,"126,500","5,500",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1438472/000162828025040566/xslF345X05/wk-form4_1755290973.xml
MIAX,Jayabalan Harish,"EVP, CISO and CRO",2025-08-13,Buy,23.0,2500,"57,500","6,443",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1438472/000162828025040565/xslF345X05/wk-form4_1755290966.xml
MIAX,Stahlin Paul,Director,2025-08-13,Buy,23.0,1000,"23,000","1,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1438472/000162828025040564/xslF345X05/wk-form4_1755290958.xml
MIAX,Nazarali Jamil,Director,2025-08-13,Buy,23.0,2500,"57,500","2,500",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1438472/000162828025040563/xslF345X05/wk-form4_1755290950.xml
MIAX,Smollen John,EVP Traded Products & Relation,2025-08-13,Buy,23.0,5000,"115,000","7,226",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1438472/000162828025040559/xslF345X05/wk-form4_1755290920.xml
MIAX,Deitzel Edward,"EVP, CRO, CCO MIAX Exchanges",2025-08-13,Buy,23.0,100,"2,300","32,193",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1438472/000162828025040558/xslF345X05/wk-form4_1755290913.xml
MIAX,Gallagher Thomas P.,Chairman & CEO,2025-08-13,Buy,23.0,12000,"276,000","12,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1438472/000162828025040557/xslF345X05/wk-form4_1755290905.xml
MIAX,Lozier Kenneth W.,Director,2025-08-13,Buy,23.0,1000,"23,000","1,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1438472/000162828025040556/xslF345X05/wk-form4_1755290897.xml
MIAX,Massad Mark I.,Director,2025-08-13,Buy,23.0,4500,"103,500","2,500",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1438472/000162828025040554/xslF345X05/wk-form4_1755290890.xml
MIAX,Massad Mark I.,Director,2025-08-13,Buy,23.0,3500,"80,500","3,500",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1438472/000162828025040554/xslF345X05/wk-form4_1755290890.xml
ECL,MacLennan David,Director,2025-08-13,Buy,278.51,600,"167,108","20,253",https://finviz.com/http://www.sec.gov/Archives/edgar/data/31462/000141588925022088/xslF345X05/form4-08152025_080821.xml
VVV,WILLIS J KEVIN,Chief Financial Officer,2025-08-14,Buy,39.41,12725,"501,506","12,725",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1575329/000167491025000125/xslF345X05/wk-form4_1755290585.xml
GPMT,Nikolic Lazar,Director,2025-08-13,Buy,19.61,3000,"58,830","4,193",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1703644/000170364425000122/xslF345X05/wk-form4_1755290463.xml
AXON,Partovi Hadi,Director,2025-08-13,Buy,740.0,1358,"1,004,920","237,938",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1069183/000106918325000194/xslF345X05/wk-form4_1755290214.xml
