ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
MNR,McMullen William Wallace,Director,2025-08-11,Buy,14.39,3085,"44,393","74,816,024",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1730172/000121390025074636/xslF345X05/ownership.xml
GMGI,Christensen Richard,CFO,2025-08-11,Buy,1.39,30000,"41,700","40,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1437925/000147793225005692/xslF345X05/form4.xml
ITRM,Dunne Michael W.,Director,2025-08-08,Buy,0.72,15000,"10,854","235,001",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1553593/000095017025106908/xslF345X05/ownership.xml
ECOR,Goldberger Daniel S,Chief Executive Officer,2025-08-11,Buy,4.23,1000,"4,230","291,565",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1382042/000164117225023084/xslF345X05/ownership.xml
LNW,Korsanos Antonia,Director,2025-08-10,Buy,80.05,8065,"645,603","22,815",https://finviz.com/http://www.sec.gov/Archives/edgar/data/750004/000095015725000655/xslF345X05/form4.xml
FTRE,NEUPERT PETER M,Director,2025-08-11,Buy,6.26,32500,"203,450","98,132",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1237566/000112760225020326/xslF345X05/form4.xml
FTRE,NEUPERT PETER M,Director,2025-08-08,Buy,6.79,30000,"203,700","65,632",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1237566/000112760225020326/xslF345X05/form4.xml
BCDA,Altman Peter,President and CEO,2025-08-11,Buy,1.76,1700,"2,989","167,562",https://finviz.com/http://www.sec.gov/Archives/edgar/data/925741/000143774925026009/xslF345X05/rdgdoc.xml
SONO,"Coliseum Capital Management, L",10% Owner,2025-08-08,Buy,11.21,55000,"616,550","14,930,280",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1314727/000095017025106774/xslF345X05/ownership.xml
SONO,"Coliseum Capital Management, L",10% Owner,2025-08-07,Buy,10.61,127406,"1,351,778","14,875,280",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1314727/000095017025106774/xslF345X05/ownership.xml
