ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
AARD,Lee Tien-Li,Chief Executive Officer,2025-09-12,Buy,8.5,5000,"42,516","1,533,384",http://www.sec.gov/Archives/edgar/data/1774857/000119312525202490/xslF345X05/ownership.xml
AARD,Lee Tien-Li,Chief Executive Officer,2025-09-11,Buy,7.82,6000,"46,926","1,528,384",http://www.sec.gov/Archives/edgar/data/1774857/000119312525202490/xslF345X05/ownership.xml
AARD,Lee Tien-Li,Chief Executive Officer,2025-09-10,Buy,7.91,9000,"71,212","1,522,384",http://www.sec.gov/Archives/edgar/data/1774857/000119312525202490/xslF345X05/ownership.xml
PLSE,DUGGAN ROBERT W,Director,2025-09-10,Buy,14.66,34659,"508,101","47,551,200",http://www.sec.gov/Archives/edgar/data/1055919/000143774925028988/xslF345X05/rdgdoc.xml
PLSE,DUGGAN ROBERT W,Director,2025-09-12,Buy,14.41,145140,"2,091,467","47,709,140",http://www.sec.gov/Archives/edgar/data/1055919/000143774925028988/xslF345X05/rdgdoc.xml
PLSE,DUGGAN ROBERT W,Director,2025-09-11,Buy,14.77,12800,"189,056","47,564,000",http://www.sec.gov/Archives/edgar/data/1055919/000143774925028988/xslF345X05/rdgdoc.xml
NYC,SCHORSCH NICHOLAS S,10% Owner,2025-09-09,Buy,9.88,450,"4,446","1,017,730",http://www.sec.gov/Archives/edgar/data/1248577/000095014225002434/xslF345X05/es250678195_4-arnyc.xml
CTO,Vorakoun Lisa,SVP & CHIEF ACCOUNTING OFFICER,2025-09-12,Buy,16.59,750,"12,446","46,759",http://www.sec.gov/Archives/edgar/data/23795/000141588925024423/xslF345X05/form4-09122025_060903.xml
CTO,Greathouse Steven Robert,SVP & CHIEF INVESTMENT OFFICER,2025-09-12,Buy,16.7,600,"10,020","184,889",http://www.sec.gov/Archives/edgar/data/23795/000141588925024422/xslF345X05/form4-09122025_060901.xml
NX,Hughes Bradley E.,Director,2025-09-11,Buy,15.27,6500,"99,275","6,500",http://www.sec.gov/Archives/edgar/data/1423221/000142322125000028/xslF345X05/form4.xml
KDP,Gorli Eric,"President, US Refreshment Bev.",2025-09-11,Buy,27.69,9175,"254,056","80,432",http://www.sec.gov/Archives/edgar/data/1418135/000205769225000003/xslF345X05/wk-form4_1757712175.xml
BSM,Carter Thomas L Jr,"CEO, President, and Chairman",2025-09-12,Buy,12.59,14000,"176,204","3,512,701",http://www.sec.gov/Archives/edgar/data/1319960/000162143425000123/xslF345X05/wk-form4_1757710586.xml
BSM,Carter Thomas L Jr,"CEO, President, and Chairman",2025-09-11,Buy,12.39,1300,"16,109","3,498,701",http://www.sec.gov/Archives/edgar/data/1319960/000162143425000123/xslF345X05/wk-form4_1757710586.xml
TRIN,Estes Ronald E.,Director,2025-09-11,Buy,16.07,2000,"32,150","35,779",http://www.sec.gov/Archives/edgar/data/1786108/000121390025087260/xslF345X05/ownership.xml
TRIN,Estes Ronald E.,Director,2025-09-10,Buy,16.14,1000,"16,140","33,779",http://www.sec.gov/Archives/edgar/data/1786108/000121390025087260/xslF345X05/ownership.xml
AISP,Huang Victor,CEO and Chairman of the BOD,2025-08-29,Buy,1.45,6000,"8,700","6,000",http://www.sec.gov/Archives/edgar/data/1842566/000116169725000322/xslF345X05/form_4.xml
ZLAB,Smiley Joshua L,See Remarks,2025-09-10,Buy,28.91,10000,"289,100","86,604",http://www.sec.gov/Archives/edgar/data/1704292/000090514825003326/xslF345X05/form4.xml
DLHC,Mink Brook Asset Management LL,10% Owner,2025-09-12,Buy,5.5,16734,"92,037","1,856,430",http://www.sec.gov/Archives/edgar/data/785557/000078555725000101/xslF345X05/wk-form4_1757709102.xml
DLHC,Mink Brook Asset Management LL,10% Owner,2025-09-11,Buy,5.5,200,"1,100","1,839,696",http://www.sec.gov/Archives/edgar/data/785557/000078555725000101/xslF345X05/wk-form4_1757709102.xml
FCPT,Lenehan William H,President and CEO,2025-09-12,Buy,25.4,7850,"199,390","698,426",http://www.sec.gov/Archives/edgar/data/1548409/000095017025114560/xslF345X05/ownership.xml
ENVA,RICE LINDA JOHNSON,Director,2025-09-10,Buy,115.95,1700,"197,110","6,257",http://www.sec.gov/Archives/edgar/data/1188735/000095017025114554/xslF345X05/ownership.xml
TTGT,Nugent Gary John,Chief Executive Officer,2025-09-12,Buy,5.85,4200,"24,570","4,200",http://www.sec.gov/Archives/edgar/data/2018064/000204591625000005/xslF345X05/ownership.xml
SHEN,"ECP Fiber Holdings GP, LLC",10% Owner,2025-09-11,Buy,13.34,1803,"24,053","3,457,105",http://www.sec.gov/Archives/edgar/data/354963/000149315225013209/xslF345X05/ownership.xml
SHEN,"ECP Fiber Holdings GP, LLC",10% Owner,2025-09-10,Buy,13.29,13541,"179,912","3,455,302",http://www.sec.gov/Archives/edgar/data/354963/000149315225013209/xslF345X05/ownership.xml
SHEN,"ECP ControlCo, LLC",10% Owner,2025-09-11,Buy,13.34,1803,"24,053","3,457,105",http://www.sec.gov/Archives/edgar/data/354963/000149315225013208/xslF345X05/ownership.xml
SHEN,"ECP ControlCo, LLC",10% Owner,2025-09-10,Buy,13.29,13541,"179,912","3,455,302",http://www.sec.gov/Archives/edgar/data/354963/000149315225013208/xslF345X05/ownership.xml
PESI,Duff Mark,President and CEO,2025-09-11,Buy,8.05,897,"7,221","134,556",http://www.sec.gov/Archives/edgar/data/891532/000164117225027190/xslF345X05/ownership.xml
NWTG,CAMPBELL GREGOR ALASDAIR,Executive Chairman & CEO,2025-09-10,Buy,1.95,20000,"39,000","85,944",http://www.sec.gov/Archives/edgar/data/1934245/000164117225027188/xslF345X05/ownership.xml
BBSI,Finn Mark Steven,Director,2025-09-11,Buy,47.06,500,"23,530","14,943",http://www.sec.gov/Archives/edgar/data/902791/000206411825000001/xslF345X05/primarydocument.xml
HYMC,Sprott Eric,10% Owner,2025-09-10,Buy,4.28,9344704,"39,995,333","17,535,528",http://www.sec.gov/Archives/edgar/data/1491714/000121390025087152/xslF345X05/ownership.xml
NMCO,Jones Nathaniel T.,Vice President,2025-09-11,Buy,10.82,800,"8,656","1,800",http://www.sec.gov/Archives/edgar/data/1677581/000122520825007951/xslF345X05/doc4.xml
PESI,Shelton Larry,Director,2025-09-11,Buy,8.58,1000,"8,575","189,880",http://www.sec.gov/Archives/edgar/data/891532/000164117225027170/xslF345X05/ownership.xml
ASRV,STOPKO JEFFREY A,President & CEO ASRV & Bank,2025-09-12,Buy,2.89,678,"1,959","162,000",http://www.sec.gov/Archives/edgar/data/707605/000106299325015585/xslF345X05/form4.xml
ASRV,STOPKO JEFFREY A,President & CEO ASRV & Bank,2025-09-11,Buy,2.85,1322,"3,768","161,322",http://www.sec.gov/Archives/edgar/data/707605/000106299325015585/xslF345X05/form4.xml
NRGV,Mandanas Mary Beth,Director,2025-09-11,Buy,2.05,10000,"20,520","184,706",http://www.sec.gov/Archives/edgar/data/1828536/000182853625000153/xslF345X05/wk-form4_1757694142.xml
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-09-11,Buy,2.65,774,"2,051","325,838",http://www.sec.gov/Archives/edgar/data/919567/000143774925028909/xslF345X05/rdgdoc.xml
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-09-11,Buy,2.65,360,954,"109,586",http://www.sec.gov/Archives/edgar/data/919567/000143774925028909/xslF345X05/rdgdoc.xml
