ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
MYO,KIRK THOMAS F,Director,2025-08-18,Buy,1.1,50000,"55,000","424,420",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1258258/000095017025109938/xslF345X05/ownership.xml
REZI,"CD&R Channel Holdings II, L.P.",10% Owner,2025-08-18,Buy,31.66,111000,"3,513,905","12,132,567",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1740332/000110465925079937/xslF345X05/tm2523763-1_4seq1.xml
REZI,"CD&R Channel Holdings II, L.P.",10% Owner,2025-08-15,Buy,31.42,339863,"10,677,544","12,021,567",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1740332/000110465925079937/xslF345X05/tm2523763-1_4seq1.xml
REZI,"CD&R Channel Holdings II, L.P.",10% Owner,2025-08-14,Buy,31.89,203161,"6,478,479","11,681,704",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1740332/000110465925079937/xslF345X05/tm2523763-1_4seq1.xml
ACDC,"THRC Holdings, LP",10% Owner,2025-08-14,Buy,4.0,2500000,"10,000,000","82,389,657",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1641792/000141588925022215/xslF345X05/form4-08182025_110837.xml
KFS,Fitzgerald John Taylor Maloney,President and CEO,2025-08-18,Buy,14.16,176,"2,492","1,530,398",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1072627/000107262725000014/xslF345X05/form4.xml
KFS,Hansen Kent A,CFO & EVP,2025-08-18,Buy,14.16,111,"1,572","135,575",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1072627/000107262725000013/xslF345X05/form4.xml
TPL,OLIVER ERIC L,Director,2025-08-15,Buy,895.0,100,"89,500","393,500",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1168602/000110465925079917/xslF345X05/tm2523799-1_4seq1.xml
TPL,OLIVER ERIC L,Director,2025-08-14,Buy,915.0,100,"91,500","393,400",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1168602/000110465925079917/xslF345X05/tm2523799-1_4seq1.xml
IRIX,Dizon Romeo R,Chief Financial Officer,2025-08-15,Buy,1.17,1500,"1,755","39,245",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1006045/000095017025109865/xslF345X05/ownership.xml
