ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
WSC,Soultz Bradley Lee,Chief Executive Officer,2025-08-05,Buy,24.85,2000,"49,700","418,376",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1647088/000089706925001263/xslF345X05/form4.xml
WSC,Soultz Bradley Lee,Chief Executive Officer,2025-08-05,Buy,25.35,3000,"76,050","126,817",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1647088/000089706925001263/xslF345X05/form4.xml
PRLB,Krishna Suresh,President and CEO,2025-08-04,Buy,43.51,1725,"75,055","18,021",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1443669/000162828025038522/xslF345X05/wk-form4_1754527689.xml
RVSB,Benke Robert,EVP/CCO,2025-08-04,Buy,4.85,4000,"19,400","41,287",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1041368/000141588925021208/xslF345X05/form4-08062025_110827.xml
TBBK,Cohn Matthew,Director,2025-08-04,Buy,63.51,550,"34,930","1,900",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1295401/000203985225000130/xslF345X05/ownership.xml
ASUR,Goepel Patrick,Chairman & CEO,2025-08-06,Buy,8.16,5250,"42,840","1,307,622",https://finviz.com/http://www.sec.gov/Archives/edgar/data/884144/000088414425000095/xslF345X05/wk-form4_1754520214.xml
ASUR,Drew William Carl,Director,2025-08-05,Buy,8.3,25000,"207,500","103,165",https://finviz.com/http://www.sec.gov/Archives/edgar/data/884144/000088414425000093/xslF345X05/wk-form4_1754520169.xml
BLFY,Kinzler Patrick H.,Director,2025-08-04,Buy,8.51,1500,"12,760","77,911",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1846017/000162828025038424/xslF345X05/wk-form4_1754515061.xml
DLHC,Mink Brook Asset Management LL,10% Owner,2025-08-06,Buy,5.5,968,"5,324","1,695,028",https://finviz.com/http://www.sec.gov/Archives/edgar/data/785557/000078555725000085/xslF345X05/wk-form4_1754514149.xml
DLHC,Mink Brook Asset Management LL,10% Owner,2025-08-05,Buy,5.5,245,"1,348","1,694,060",https://finviz.com/http://www.sec.gov/Archives/edgar/data/785557/000078555725000085/xslF345X05/wk-form4_1754514149.xml
DLHC,Mink Brook Asset Management LL,10% Owner,2025-08-04,Buy,5.5,4687,"25,778","1,693,815",https://finviz.com/http://www.sec.gov/Archives/edgar/data/785557/000078555725000085/xslF345X05/wk-form4_1754514149.xml
BRBR,STEIN ELLIOT JR,Director,2025-08-06,Buy,37.49,2663,"99,836","5,198",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1285613/000177201625000133/xslF345X05/wk-form4_1754514039.xml
BRBR,CONWAY SHAWN,Director,2025-08-06,Buy,36.41,2700,"98,307","6,685",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1515728/000177201625000132/xslF345X05/wk-form4_1754514031.xml
BRBR,ROSENTHAL CRAIG L,CLO & SECRETARY,2025-08-06,Buy,37.29,2600,"96,958","33,475",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1772016/000177201625000131/xslF345X05/wk-form4_1754514024.xml
ENPH,Kothandaraman Badrinarayanan,President & CEO,2025-08-06,Buy,30.82,5000,"154,120","1,620,632",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1463101/000154377725000003/xslF345X05/wk-form4_1754513785.xml
MUSA,MURPHY ROBERT MADISON,Director,2025-08-05,Buy,367.01,5000,"1,835,038","389,172",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1216894/000112760225020173/xslF345X05/form4.xml
MOH,WOYS JAMES,Chief Operating Officer,2025-08-04,Buy,155.94,10000,"1,559,365","74,331",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1179929/000117992925000121/xslF345X05/wk-form4_1754513252.xml
NSP,KAUFMAN CAROL R,Director,2025-08-04,Buy,45.24,5000,"226,200","47,067",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1000753/000112760225020170/xslF345X05/form4.xml
NSP,Ramchand Latha,Director,2025-08-06,Buy,50.64,1000,"50,640","15,120",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1000753/000100075325000088/xslF345X05/form4.xml
NSP,Mehl Randall,Director,2025-08-04,Buy,45.05,2000,"90,100","22,707",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1000753/000100075325000086/xslF345X05/form4.xml
NSP,MASTERSON ELLEN H,Director,2025-08-04,Buy,45.3,490,"22,197","19,780",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1000753/000100075325000084/xslF345X05/form4.xml
NSP,Lumelleau John L,Director,2025-08-04,Buy,45.36,5500,"249,480","5,500",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1000753/000100075325000082/xslF345X05/form4.xml
AMSC,Klein Margaret D.,Director,2025-08-04,Buy,5.57,500,"2,782","16,376",https://finviz.com/http://www.sec.gov/Archives/edgar/data/880807/000095017025104155/xslF345X05/ownership.xml
NSP,JONES ELI,Director,2025-08-04,Buy,45.41,2204,"100,092","12,847",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1000753/000100075325000080/xslF345X05/form4.xml
NSP,ALLISON JAMES D,"EVP, Finance, CFO & Treasurer",2025-08-04,Buy,46.82,4000,"187,280","64,517",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1000753/000100075325000078/xslF345X05/form4.xml
SHEN,"ECP Fiber Holdings GP, LLC",10% Owner,2025-08-05,Buy,13.12,26117,"342,595","3,144,361",https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225022437/xslF345X05/ownership.xml
SHEN,"ECP Fiber Holdings GP, LLC",10% Owner,2025-08-04,Buy,13.0,23703,"308,032","3,118,244",https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225022437/xslF345X05/ownership.xml
SHEN,"ECP ControlCo, LLC",10% Owner,2025-08-05,Buy,13.12,26117,"342,595","3,144,361",https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225022436/xslF345X05/ownership.xml
SHEN,"ECP ControlCo, LLC",10% Owner,2025-08-04,Buy,13.0,23703,"308,032","3,118,244",https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225022436/xslF345X05/ownership.xml
SNV,Creson Shellie,EVP and Chief Risk Officer,2025-08-05,Buy,47.79,1000,"47,790","27,258",https://finviz.com/http://www.sec.gov/Archives/edgar/data/18349/000001834925000105/xslF345X05/wk-form4_1754511546.xml
MMLP,Martin Product Sales LLC,10% Owner,2025-08-04,Buy,2.95,7107,"20,961","2,567,194",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1176334/000117633425000116/xslF345X05/wk-form4_1754511441.xml
