ticker,insider_name,transaction_date,transaction_type,price,shares,value,relationship,sec_form4,market_open_at_trade,market_close_at_trade,high_at_trade,low_at_trade,sma_20_at_trade,rsi_14_at_trade,sma_20_prev,price_prev,high_plus_7d,low_plus_7d,max_gain_7d,max_drawdown_7d,high_plus_14d,low_plus_14d,max_gain_14d,max_drawdown_14d,high_plus_30d,low_plus_30d,max_gain_30d,max_drawdown_30d,high_minus_7d,low_minus_7d,high_minus_15d,low_minus_15d,final_gain_30d,case_2_outcome,ownership_pct,tags
ASAN,Moskovitz Dustin A.,2025-08-20,Buy,13.62,225000,3064860,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1477720/000147772025000190/xslF345X05/wk-form4_1755821444.xml,13.829999923706056,13.68000030517578,13.890000343322754,13.470000267028809,,,,13.800000190734863,,,,,,,,,,,,,14.289999961853027,13.013999938964844,14.880000114440918,12.710000038146973,,,0.000887,"['📋 Director', '🟢 SMALL TRADE', '🌿 MID CAP', '📡 Tech', '📅 NEAR EARNINGS', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']"
ASLE,Fedder Judith Ann,2025-08-13,Buy,8.51,2100,17870,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1754170/000110465925078890/xslF345X05/tm2523570-3_4seq1.xml,8.789999961853027,8.779999732971191,8.800000190734863,8.395000457763672,,,,8.770000457763672,8.994999885559082,8.390000343322754,5.699176093526231,-1.4101017235869082,,,,,,,,,8.90999984741211,6.09499979019165,8.90999984741211,5.769999980926514,,,4.5e-05,"['📋 Director', '🌱 SMALL CAP', '🏗️ Industrial', '📉 BELOW CLOSE', '🚀 SPIKE +5% [7d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI']"
ASUR,Drew William Carl,2025-08-05,Buy,8.3,25000,207500,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/884144/000088414425000093/xslF345X05/wk-form4_1754520169.xml,8.3100004196167,8.15999984741211,8.59000015258789,7.960000038146973,9.927500009536743,23.15765800829213,10.060500001907348,8.270000457763672,8.850000381469727,7.949999809265137,6.626510620117178,-4.216869767889928,8.850000381469727,7.949999809265137,6.626510620117178,-4.216869767889928,,,,,10.5,7.699999809265137,10.68000030517578,7.699999809265137,,,0.000924,"['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP', '📡 Tech', '📈 ABOVE CLOSE', '🚀 SPIKE +5% [7d]', '🚀 SPIKE +5% [14d]', '📉 BELOW SMA20', '🔻 OVERSOLD (RSI < 30)', '📉 DIP SETUP']"
ASUR,Goepel Patrick,2025-08-06,Buy,8.16,5250,42840,Chairman & CEO,https://finviz.com/http://www.sec.gov/Archives/edgar/data/884144/000088414425000095/xslF345X05/wk-form4_1754520214.xml,8.210000038146973,8.1899995803833,8.359999656677246,8.029999732971191,,,9.927500009536743,8.15999984741211,8.850000381469727,7.949999809265137,8.455887027815274,-2.5735317492017575,8.850000381469727,7.949999809265137,8.455887027815274,-2.5735317492017575,,,,,10.25,7.699999809265137,10.68000030517578,7.699999809265137,,,0.000191,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '📡 Tech', '🚀 SPIKE +5% [7d]', '🚀 SPIKE +5% [14d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI']"
ATAI,Apeiron Investment Group Ltd.,2025-08-14,Buy,2.19,8675799,19000000,10% Owner,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1840904/000095017025109858/xslF345X05/ownership.xml,3.9800000190734863,4.010000228881836,4.039999961853027,3.785000085830689,,,,4.050000190734863,4.5289998054504395,3.5999999046325684,106.80364408449496,64.38355728915838,,,,,,,,,4.300000190734863,3.871000051498413,4.400000095367432,3.299999952316284,,🟢 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.021888,"['🔟 10% Owner', '🔥 VERY LARGE TRADE', '🌱 SMALL CAP', '🏥 Healthcare', '🧨 CAUGHT THE KNIFE [7d]', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1']"
ATEX,Gray Timothy,2025-08-19,Buy,22.07,50,1104,Chief Financial Officer,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1304492/000162976225000004/xslF345X05/wk-form4_1755782363.xml,22.350000381469727,22.010000228881836,22.700000762939453,21.93000030517578,,53.62796155509725,,22.229999542236328,,,,,,,,,,,,,23.200000762939453,20.709999084472656,23.200000762939453,20.635000228881836,,,3e-06,"['💼 CFO', '🌱 SMALL CAP', '📞 Communication', '🟡 NEUTRAL (RSI)', '⚠️ INSUFFICIENT DATA FOR MA/RSI']"
ATLO,Cassabaum Michelle R,2025-07-31,Buy,18.29,164,3000,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1132651/000113265125000032/xslF345X05/primary_doc.xml,18.280000686645508,18.049999237060547,18.420000076293945,17.899999618530273,18.295999908447264,48.01532872262983,18.30199995040893,18.26000022888184,18.670000076293945,18.0,2.077638470715944,-1.585565882996168,19.40999984741211,18.0,6.123563955232971,-1.585565882996168,,,,,18.90999984741211,18.11000061035156,18.90999984741211,17.75,,,1.9e-05,"['📋 Director', '🐣 MICRO CAP', '🏦 Financial', '📈 ABOVE CLOSE', '🚀 SPIKE +5% [14d]', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)']"
AUB,Asbury John C,2025-07-28,Buy,32.91,7500,246825,PRESIDENT AND CEO,https://finviz.com/http://www.sec.gov/Archives/edgar/data/883948/000141588925020438/xslF345X05/form4-07292025_050737.xml,33.08000183105469,32.86000061035156,33.150001525878906,32.77000045776367,33.01350002288818,53.54543736442127,32.93400001525879,33.08000183105469,33.34000015258789,30.38999938964844,1.3065942041564693,-7.65724889198285,33.34000015258789,30.38999938964844,1.3065942041564693,-7.65724889198285,,,,,34.0,32.349998474121094,34.0,31.489999771118164,,,5.5e-05,"['👑 CEO', '🌿 MID CAP', '🏦 Financial', '📉 DIP -5% [7d]', '📉 DIP -5% [14d]', '📉 BELOW SMA20', '🔻 SMA LOST', '🟡 NEUTRAL (RSI)']"
AUB,Ellett Frank Russell,2025-08-05,Buy,31.32,5000,156600,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/883948/000141588925021269/xslF345X05/form4-08072025_080819.xml,31.3799991607666,31.68000030517578,31.68000030517578,30.809999465942383,,,,31.229999542236328,33.470001220703125,31.15999984741211,6.864627141453145,-0.5108561704594218,34.369998931884766,31.15999984741211,9.738183051994781,-0.5108561704594218,,,,,33.34000015258789,30.38999938964844,34.0,30.38999938964844,,,3.5e-05,"['📋 Director', '🌿 MID CAP', '🏦 Financial', '📉 BELOW CLOSE', '🚀 SPIKE +5% [7d]', '🚀 SPIKE +10% [14d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI']"
AUB,Ellett Frank Russell,2025-08-06,Buy,31.79,5000,158950,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/883948/000141588925021269/xslF345X05/form4-08072025_080819.xml,31.780000686645508,31.690000534057617,31.989999771118164,31.549999237060547,,,,31.68000030517578,34.29999923706055,31.15999984741211,7.8955622430341235,-1.9817557489395714,34.369998931884766,31.15999984741211,8.115756312943589,-1.9817557489395714,,,,,33.2599983215332,30.38999938964844,34.0,30.38999938964844,,,3.5e-05,"['📋 Director', '🌿 MID CAP', '🏦 Financial', '🚀 SPIKE +5% [7d]', '🚀 SPIKE +5% [14d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI']"
