ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
LNW,Odell Jamie,Director,2025-08-07,Buy,78.81,8275,"652,154","8,275",https://finviz.com/http://www.sec.gov/Archives/edgar/data/750004/000095015725000650/xslF345X05/form4.xml
PINE,Greathouse Steven Robert,SVP - INVESTMENTS,2025-08-06,Buy,14.31,3500,"50,082","10,756",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1728277/000141588925021365/xslF345X05/form4-08082025_070803.xml
PINE,Albright John P,PRESIDENT AND CEO,2025-08-06,Buy,14.2,3500,"49,702","11,444",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1392476/000141588925021364/xslF345X05/form4-08082025_070801.xml
IFF,FRIBOURG PAUL J,Director,2025-08-07,Buy,64.8,15450,"1,001,183","15,450",https://finviz.com/http://www.sec.gov/Archives/edgar/data/51253/000122520825007187/xslF345X05/doc4.xml
BRO,KRUMP PAUL J,Director,2025-08-08,Buy,93.31,2678,"249,884","5,353",https://finviz.com/http://www.sec.gov/Archives/edgar/data/79282/000095017025106059/xslF345X05/ownership.xml
FUN,Hoffman Steven E,Director,2025-08-07,Buy,24.67,10058,"248,084","13,473",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1999001/000199900125000156/xslF345X05/wk-form4_1754689920.xml
MERC,Laberge Alice,Director,2025-08-08,Buy,2.98,2000,"5,957","12,065",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1333274/000184817425000002/xslF345X05/primary_doc.xml
FLY,Konert Kirk Michael,Director,2025-08-06,Buy,45.0,3333,"149,985","3,333",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1860160/000095017025106034/xslF345X05/ownership.xml
FLY,Lusczakoski Jonathan Donald,Director,2025-08-06,Buy,45.0,266,"11,970",266,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1860160/000095017025106033/xslF345X05/ownership.xml
FLY,Braden Pamela Joyce,Director,2025-08-06,Buy,45.0,8888,"399,960","24,252",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1860160/000095017025106032/xslF345X05/ownership.xml
FLY,Zurbuchen Thomas Hansueli,Director,2025-08-06,Buy,45.0,800,"36,000",800,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1860160/000095017025106031/xslF345X05/ownership.xml
FLY,"AEROEQUITY GP, LLC",10% Owner,2025-08-06,Buy,45.0,11111,"499,995","11,111",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1804072/000095017025106030/xslF345X05/ownership.xml
OSPN,Capers Garry L,Director,2025-08-08,Buy,13.07,2000,"26,139","36,894",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1044777/000156218025005695/xslF345X05/primarydocument.xml
OSPN,Zenner Marc,Director,2025-08-08,Buy,12.8,2200,"28,160","71,273",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1044777/000156218025005694/xslF345X05/primarydocument.xml
TROX,Turgeon Jean Francois,Director,2025-08-07,Buy,3.21,31150,"100,027","772,572",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1530804/000114036125029887/xslF345X05/form4.xml
OPK,FROST PHILLIP MD ET AL,CEO & Chairman,2025-08-08,Buy,1.32,675000,"891,000","214,676,448",https://finviz.com/http://www.sec.gov/Archives/edgar/data/898860/000095017025105971/xslF345X05/ownership.xml
PTLO,LEE EUGENE I JR,Director,2025-08-07,Buy,7.68,130250,"1,000,320","130,250",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1242843/000187150925000128/xslF345X05/wk-form4_1754685925.xml
