ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
ADC,Agree Joey,PRESIDENT & CEO,2025-08-13,Buy,72.15,742,"53,535","2,934",https://finviz.com/http://www.sec.gov/Archives/edgar/data/917251/000141588925021697/xslF345X05/form4-08142025_060802.xml
ADC,Agree Joey,PRESIDENT & CEO,2025-08-13,Buy,72.15,4108,"296,392","633,060",https://finviz.com/http://www.sec.gov/Archives/edgar/data/917251/000141588925021697/xslF345X05/form4-08142025_060802.xml
ALKT,GENERAL ATLANTIC GENPAR (BERMU,Director,2025-08-13,Buy,22.44,229391,"5,147,298","12,033,436",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1356474/000095014225002163/xslF345X05/es250667532_4-alkt2.xml
ALKT,GENERAL ATLANTIC GENPAR (BERMU,Director,2025-08-12,Buy,21.46,516771,"11,088,614","11,804,045",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1356474/000095014225002163/xslF345X05/es250667532_4-alkt2.xml
ALKT,GENERAL ATLANTIC GENPAR (BERMU,Director,2025-08-11,Buy,20.7,650000,"13,452,470","11,287,274",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1356474/000095014225002163/xslF345X05/es250667532_4-alkt2.xml
ALKT,"GENERAL ATLANTIC, L.P.",Director,2025-08-13,Buy,22.44,229391,"5,147,298","12,033,436",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1017645/000095014225002162/xslF345X05/es250667530_4-alkt1.xml
ALKT,"GENERAL ATLANTIC, L.P.",Director,2025-08-12,Buy,21.46,516771,"11,088,614","11,804,045",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1017645/000095014225002162/xslF345X05/es250667530_4-alkt1.xml
ALKT,"GENERAL ATLANTIC, L.P.",Director,2025-08-11,Buy,20.7,650000,"13,452,470","11,287,274",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1017645/000095014225002162/xslF345X05/es250667530_4-alkt1.xml
LNW,McLennan Hamish,Director,2025-08-12,Buy,87.61,1380,"120,902","6,380",https://finviz.com/http://www.sec.gov/Archives/edgar/data/750004/000095015725000671/xslF345X05/form4.xml
PNI,BANK OF AMERICA CORP /DE/,10% Owner,2025-08-11,Buy,6.52,105,684,105,https://finviz.com/http://www.sec.gov/Archives/edgar/data/70858/000007085825000310/xslF345X05/primary_doc.xml
BAC,BANK OF AMERICA CORP /DE/,10% Owner,2025-08-11,Buy,6.52,105,684,105,https://finviz.com/http://www.sec.gov/Archives/edgar/data/70858/000007085825000310/xslF345X05/primary_doc.xml
MXCT,Swirsky Douglas J,CHIEF FINANCIAL OFFICER,2025-08-13,Buy,1.29,50000,"64,500","161,811",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1287098/000090514825002877/xslF345X05/form4.xml
MXCT,Masoud Maher,President and CEO,2025-08-13,Buy,1.37,75000,"102,915","175,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1287098/000090514825002876/xslF345X05/form4.xml
MXCT,Erck Stanley C,Director,2025-08-13,Buy,1.37,100000,"137,220","398,328",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1287098/000090514825002875/xslF345X05/form4.xml
